index,Date (EST),Contents,Category,Post Title,Date_Ext,token_text,sentiment_py,same_pred
10,10/14/2017,PlayStation Now Updated With A Bunch Of Horror Games For Halloween https://t.co/zxWA9aBRzM #crm PlayStation Now Updated With A Bunch Of Horror Games For Halloween https://t.co/zxWA9aBRzM #crm,neutral,PlayStation Now Updated With A Bunch Of Horror Games For Halloween https://t.co/zxWA9aBRzM #crm,10/14/2017,"['playstation', 'now', 'updated', 'with', 'a', 'bunch', 'of', 'horror', 'games', 'for', 'halloween', '', 'crm', 'playstation', 'now', 'updated', 'with', 'a', 'bunch', 'of', 'horror', 'games', 'for', 'halloween', '', 'crm']",neutral,1.0
11,10/15/2017,Are you able to use PSNow with a Xbox One Controller? Are you able to use PSNow with a Xbox One Controller?,neutral,Are you able to use PSNow with a Xbox One Controller?,10/15/2017,"['are', 'you', 'able', 'to', 'use', 'psnow', 'with', 'a', 'xbox', 'one', 'controller', '', 'are', 'you', 'able', 'to', 'use', 'psnow', 'with', 'a', 'xbox', 'one', 'controller', '']",positive,0.0
12,10/17/2017,Could this mean Microsoft will soon offer Xbox streaming services like PSNow? nan,neutral,,10/17/2017,"['could', 'this', 'mean', 'microsoft', 'will', 'soon', 'offer', 'xbox', 'streaming', 'services', 'like', 'psnow', '', 'nan']",negative,0.0
13,10/17/2017,"I’m on @PlayStation now! Don’t worry @Xbox , you will always have a home here , maybe one day cousin @NintendoAmerica will come over to play https://t.co/9qCP9mhdz9 I’m on @PlayStation now! Don’t worry @Xbox , you will always have a home here , maybe one day cousin @NintendoAmerica will come over to play https://t.co/9qCP9mhdz9",neutral,"I’m on @PlayStation now! Don’t worry @Xbox , you will always have a home here , maybe one day cousin @NintendoAmerica will come over to play https://t.co/9qCP9mhdz9",10/17/2017,"['i', 'm', 'on', 'SCREEN_NAME', 'now', '', 'do', 'nt', 'worry', 'SCREEN_NAME', '', 'you', 'will', 'always', 'have', 'a', 'home', 'here', '', 'maybe', 'one', 'day', 'cousin', 'SCREEN_NAME', 'will', 'come', 'over', 'to', 'play', 'i', 'm', 'on', 'SCREEN_NAME', 'now', '', 'do', 'nt', 'worry', 'SCREEN_NAME', '', 'you', 'will', 'always', 'have', 'a', 'home', 'here', '', 'maybe', 'one', 'day', 'cousin', 'SCREEN_NAME', 'will', 'come', 'over', 'to', 'play']",neutral,1.0
14,10/13/2017,@revolverocelots No playstation now its a scam ditto does not approve :( @revolverocelots No playstation now  its a scam ditto does not approve :(,negative,@revolverocelots No playstation now  its a scam ditto does not approve :(,10/13/2017,"['SCREEN_NAME', 'no', 'playstation', 'now', 'its', 'a', 'scam', 'ditto', 'does', 'not', 'approve', 'SCREEN_NAME', 'no', 'playstation', 'now', 'its', 'a', 'scam', 'ditto', 'does', 'not', 'approve']",neutral,0.0
15,10/15/2017,¿Que ofrece PSNOW? #PlayStationNow https://t.co/PAEfATs8nH ¿Que ofrece PSNOW? #PlayStationNow https://t.co/PAEfATs8nH,neutral,¿Que ofrece PSNOW? #PlayStationNow https://t.co/PAEfATs8nH,10/15/2017,"['', 'que', 'ofrece', 'psnow', '', '', 'playstationnow', '', 'que', 'ofrece', 'psnow', '', '', 'playstationnow']",neutral,1.0
16,10/13/2017,@The_CrapGamer @YouTube I'm very excited to play this on PSnow. Will use my two week trial to beat it. @The_CrapGamer @YouTube I'm very excited to play this on PSnow. Will use my two week trial to beat it.,positive,@The_CrapGamer @YouTube I'm very excited to play this on PSnow. Will use my two week trial to beat it.,10/13/2017,"['SCREEN_NAME', 'SCREEN_NAME', 'i', 'm', 'very', 'excited', 'to', 'play', 'this', 'on', 'psnow', '', 'will', 'use', 'my', 'two', 'week', 'trial', 'to', 'beat', 'it', '', 'SCREEN_NAME', 'SCREEN_NAME', 'i', 'm', 'very', 'excited', 'to', 'play', 'this', 'on', 'psnow', '', 'will', 'use', 'my', 'two', 'week', 'trial', 'to', 'beat', 'it', '']",positive,1.0
17,10/15/2017,"However, PSNow has streaming options for Infamous 1 and 2. nan",neutral,,10/15/2017,"['however', '', 'psnow', 'has', 'streaming', 'options', 'for', 'infamous', '1', 'and', '2', '', 'nan']",negative,0.0
18,10/15/2017,Sony Bravia KD49XD8088 49 inch Android 4K HDR Ultra HD Smart TV with TRILUMINOS Display… https://t.co/2ohlpqAtJk Sony Bravia KD49XD8088 49 inch Android 4K HDR Ultra HD Smart TV with TRILUMINOS Display… https://t.co/2ohlpqAtJk,neutral,Sony Bravia KD49XD8088 49 inch Android 4K HDR Ultra HD Smart TV with TRILUMINOS Display… https://t.co/2ohlpqAtJk,10/15/2017,"['sony', 'bravia', 'kd49xd8088', '49', 'inch', 'android', '4', 'k', 'hdr', 'ultra', 'hd', 'smart', 'tv', 'with', 'triluminos', 'display', '', 'sony', 'bravia', 'kd49xd8088', '49', 'inch', 'android', '4', 'k', 'hdr', 'ultra', 'hd', 'smart', 'tv', 'with', 'triluminos', 'display', '']",neutral,1.0
19,10/15/2017,@youvebeenSLAIN Haha I've been curious about it. If it's on PSNow I'll def get around to it @youvebeenSLAIN Haha I've been curious about it. If it's on PSNow I'll def get around to it,neutral,@youvebeenSLAIN Haha I've been curious about it. If it's on PSNow I'll def get around to it,10/15/2017,"['SCREEN_NAME', 'haha', 'i', 've', 'been', 'curious', 'about', 'it', '', 'if', 'it', 's', 'on', 'psnow', 'i', 'll', 'def', 'get', 'around', 'to', 'it', 'SCREEN_NAME', 'haha', 'i', 've', 'been', 'curious', 'about', 'it', '', 'if', 'it', 's', 'on', 'psnow', 'i', 'll', 'def', 'get', 'around', 'to', 'it']",neutral,1.0
20,10/13/2017,HACKER ! I CARE ABOUT YOU. BUT I AM NO DOOR MAT!!! 5YRS YOU HV STALKED ME ON MY PLAY STATION NOW ON XBOX. PHONES! THIS MUST STOP!!!!!!!! HACKER ! I CARE ABOUT YOU. BUT I AM NO DOOR MAT!!! 5YRS  YOU HV STALKED ME ON MY PLAY STATION NOW ON XBOX. PHONES! THIS MUST STOP!!!!!!!!,positive,HACKER ! I CARE ABOUT YOU. BUT I AM NO DOOR MAT!!! 5YRS  YOU HV STALKED ME ON MY PLAY STATION NOW ON XBOX. PHONES! THIS MUST STOP!!!!!!!!,10/13/2017,"['hacker', '', 'i', 'care', 'about', 'you', '', 'but', 'i', 'am', 'no', 'door', 'mat', '', '', '', '5yrs', 'you', 'hv', 'stalked', 'me', 'on', 'my', 'play', 'station', 'now', 'on', 'xbox', '', 'phones', '', 'this', 'must', 'stop', '', '', '', '', '', '', '', '', 'hacker', '', 'i', 'care', 'about', 'you', '', 'but', 'i', 'am', 'no', 'door', 'mat', '', '', '', '5yrs', 'you', 'hv', 'stalked', 'me', 'on', 'my', 'play', 'station', 'now', 'on', 'xbox', '', 'phones', '', 'this', 'must', 'stop', '', '', '', '', '', '', '', '']",neutral,0.0
21,10/16/2017,"I don't see it as available yet for download or more information in the Support section, but my XBR-65X850C had an update waiting for me this morning (10.03.17). No information was available as to what it addressed (or what the new version was) when selecting 'More Details', but since I've experienced - let's say - less than stellar performance from the set since installing the previous update (ending in 0137NAB), I took an unceremonious leap of faith, restarted the TV and let it do its thing. The result is new version PKG3.915.0139NAB. I've searched high and low for information on this version and can find nothing. I can tell you this information from Settings / About: Android security patch level: August 1, 2017 Version: 6.0.1 Build: SVP4KDTV15_UC-user 6.0.1 MMB29V.S41 3.915 release-keys What they leave in, what they take out - I don't know. Perhaps it is just me, but the set does appear to be a bit snappier responding to the remote for nav, selection and volume control. YMMV. Thus far, no problems, but inquiring minds like mine would really like to know if this is just a security update, or if it is designed to address some of the shortcomings of the previous build & possibly add (or, in the case of Twitter) remove features... ====================::==================== Hi Gregthecanuck, Welcome to Sony Community! Yes, this latest software version was released 10/03/2017 for your TV( XBR-55X810C ). The section below provides a list of benefits provided by previous updates and included in the latest System Software Update. - Adds support for (Hybrid Log-Gamma) HDR content via HDMI input (does not apply to the XBR43X830C, XBR49X800C, XBR49X830C, XBR55X810C, XBR65X800C and XBR65X810C models) - Reduces input lag for 4K HDR gaming (does not apply to the XBR43X830C, XBR49X800C, XBR49X830C, XBR55X810C, XBR65X800C and XBR65X810C models) - Updates the system software to Android™ M (Marshmallow) - Improves the general performance of the television - Adds support for 4K Live/NeuLion® Sports digital video technology - Improves general software quality of the TV - Improves RVU support - Adds Twin Picture (PAP function) support - Resolves a condition where a black picture may occur after performing a remote Off/On (KDL-75W850C) - Supports PlayMemories Online service - Supports PlayStation™ Now service - Improves Wi-Fi connectivity of the TV - Improves picture quality (dynamic range, noise reduction, sharpness) - Supports Netflix® streaming service (4K Models) - Improves Lip Sync for HDMI input - Improves performance and stability of the USB video playback features - Resolves a condition where a black screen and no sound may occur when an input changes from YouTube® to another input - Resolves a condition where a black screen may occur during USB video playback - Supports Internet-based EPG (Electronic program guide) - Supports Netflix streaming service (2K Models) - Supports Amazon®, Pandora®, and Crackle™ applications - Supports Force Reboot by holding down the Power key on the BT or IR remote controller - Improves performance and stability of overall UI operation - Improves performance and stability of the Action Menu You can also check these items from this link. https://esupport.sony.com/p/support-info.pl?info_id=1681 . If you need to update your television, you can check the guidelines from this link. https://us.en.kb.sony.com/app/answers/detail/a_id/40952 . Regards, -Jay If my post answers your question, please mark it as ""Accept as Solution"" Re: PKG3.915.0139NAB System Update",neutral,Re: PKG3.915.0139NAB System Update,10/16/2017,"['i', 'do', 'nt', 'see', 'it', 'as', 'available', 'yet', 'for', 'download', 'or', 'more', 'information', 'in', 'the', 'support', 'section', '', 'but', 'my', 'had', 'an', 'update', 'waiting', 'for', 'me', 'this', 'morning', '', '100317', '', '', 'no', 'information', 'was', 'available', 'as', 'to', 'what', 'it', 'addressed', '', 'or', 'what', 'the', 'new', 'version', 'was', '', 'when', 'selecting', '', 'more', 'details', '', '', 'but', 'since', 'i', 've', 'experienced', 'let', 's', 'say', 'less', 'than', 'stellar', 'performance', 'from', 'the', 'set', 'since', 'installing', 'the', 'previous', 'update', '', 'ending', 'in', '0137nab', '', '', 'i', 'took', 'an', 'unceremonious', 'leap', 'of', 'faith', '', 'restarted', 'the', 'tv', 'and', 'let', 'it', 'do', 'its', 'thing', '', 'the', 'result', 'is', 'new', 'version', 'pkg39150139nab', '', 'i', 've', 'searched', 'high', 'and', 'low', 'for', 'information', 'on', 'this', 'version', 'and', 'can', 'find', 'nothing', '', 'i', 'can', 'tell', 'you', 'this', 'information', 'from', 'settings', '', 'about', 'android', 'security', 'patch', 'level', 'august', '1', '', '2017', 'version', '601', 'build', 'svp4kdtv15uc', 'user', '601', 'mmb29vs41', '3915', 'release', 'keys', 'what', 'they', 'leave', 'in', '', 'what', 'they', 'take', 'out', 'i', 'do', 'nt', 'know', '', 'perhaps', 'it', 'is', 'just', 'me', '', 'but', 'the', 'set', 'does', 'appear', 'to', 'be', 'a', 'bit', 'snappier', 'responding', 'to', 'the', 'remote', 'for', 'nav', '', 'selection', 'and', 'volume', 'control', '', 'ymmv', '', 'thus', 'far', '', 'no', 'problems', '', 'but', 'inquiring', 'minds', 'like', 'mine', 'would', 'really', 'like', 'to', 'know', 'if', 'this', 'is', 'just', 'a', 'security', 'update', '', 'or', 'if', 'it', 'is', 'designed', 'to', 'address', 'some', 'of', 'the', 'shortcomings', 'of', 'the', 'previous', 'build', '', 'possibly', 'add', '', 'or', '', 'in', 'the', 'case', 'of', 'twitter', '', 'remove', 'features', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'hi', 'gregthecanuck', '', 'welcome', 'to', 'sony', 'community', '', 'yes', '', 'this', 'latest', 'software', 'version', 'was', 'released', '10032017', 'for', 'your', 'tv', '', '', '', 'the', 'section', 'below', 'provides', 'a', 'list', 'of', 'benefits', 'provided', 'by', 'previous', 'updates', 'and', 'included', 'in', 'the', 'latest', 'system', 'software', 'update', '', 'adds', 'support', 'for', '', 'hybrid', 'log', 'gamma', '', 'hdr', 'content', 'via', 'hdmi', 'input', '', 'does', 'not', 'apply', 'to', 'the', 'xbr43x830c', '', 'xbr49x800c', '', 'xbr49x830c', '', 'xbr55x810c', '', 'xbr65x800c', 'and', 'xbr65x810c', 'models', '', 'reduces', 'input', 'lag', 'for', '4', 'k', 'hdr', 'gaming', '', 'does', 'not', 'apply', 'to', 'the', 'xbr43x830c', '', 'xbr49x800c', '', 'xbr49x830c', '', 'xbr55x810c', '', 'xbr65x800c', 'and', 'xbr65x810c', 'models', '', 'updates', 'the', 'system', 'software', 'to', 'android', 'm', '', 'marshmallow', '', 'improves', 'the', 'general', 'performance', 'of', 'the', 'television', 'adds', 'support', 'for', '4', 'k', 'liveneulion', 'sports', 'digital', 'video', 'technology', 'improves', 'general', 'software', 'quality', 'of', 'the', 'tv', 'improves', 'rvu', 'support', 'adds', 'twin', 'picture', '', 'pap', 'function', '', 'support', 'resolves', 'a', 'condition', 'where', 'a', 'black', 'picture', 'may', 'occur', 'after', 'performing', 'a', 'remote', 'offon', '', '', 'supports', 'playmemories', 'online', 'service', 'supports', 'playstation', 'now', 'service', 'improves', 'wi', 'fi', 'connectivity', 'of', 'the', 'tv', 'improves', 'picture', 'quality', '', 'dynamic', 'range', '', 'noise', 'reduction', '', 'sharpness', '', 'supports', 'netflix', 'streaming', 'service', '', '4', 'k', 'models', '', 'improves', 'lip', 'sync', 'for', 'hdmi', 'input', 'improves', 'performance', 'and', 'stability', 'of', 'the', 'usb', 'video', 'playback', 'features', 'resolves', 'a', 'condition', 'where', 'a', 'black', 'screen', 'and', 'no', 'sound', 'may', 'occur', 'when', 'an', 'input', 'changes', 'from', 'youtube', 'to', 'another', 'input', 'resolves', 'a', 'condition', 'where', 'a', 'black', 'screen', 'may', 'occur', 'during', 'usb', 'video', 'playback', 'supports', 'internet', 'based', 'epg', '', 'electronic', 'program', 'guide', '', 'supports', 'netflix', 'streaming', 'service', '', '2', 'k', 'models', '', 'supports', 'amazon', '', 'pandora', '', 'and', 'crackle', 'applications', 'supports', 'force', 'reboot', 'by', 'holding', 'down', 'the', 'power', 'key', 'on', 'the', 'bt', 'or', 'ir', 'remote', 'controller', 'improves', 'performance', 'and', 'stability', 'of', 'overall', 'ui', 'operation', 'improves', 'performance', 'and', 'stability', 'of', 'the', 'action', 'menu', 'you', 'can', 'also', 'check', 'these', 'items', 'from', 'this', 'link', '', '', 'if', 'you', 'need', 'to', 'update', 'your', 'television', '', 'you', 'can', 'check', 'the', 'guidelines', 'from', 'this', 'link', '', '', 'regards', '', 'if', 'my', 'post', 'answers', 'your', 'question', '', 'please', 'mark', 'it', 'as', '', 'accept', 'as', 'solution', '', 're', 'pkg39150139nab', 'system', 'update']",neutral,1.0
