index,Date (EST),Contents,Category,Post Title,Date_Ext,token_text,sentiment_py,same_pred
1082,2019/01/22,"@jpoconnor1967 Hello! https://t.co/1zRUFz6LPf shows the network is operating problem-free. Are you getting any error codes when signing in via [Settings] > [Account Management], if on a PS4? ^DB @jpoconnor1967 Hello! https://t.co/1zRUFz6LPf shows the network is operating problem-free. Are you getting any error codes when signing in via [Settings] > [Account Management], if on a PS4? ^DB",neutral,"@jpoconnor1967 Hello! https://t.co/1zRUFz6LPf shows the network is operating problem-free. Are you getting any error codes when signing in via [Settings] > [Account Management], if on a PS4? ^DB",2019/01/22,"['SCREEN_NAME', 'hello', '', 'shows', 'the', 'network', 'is', 'operating', 'problem', 'free', '', 'are', 'you', 'getting', 'any', 'error', 'codes', 'when', 'signing', 'in', 'via', '', 'settings', '', '', '', 'account', 'management', '', '', 'if', 'on', 'a', 'ps4', '', 'db', 'SCREEN_NAME', 'hello', '', 'shows', 'the', 'network', 'is', 'operating', 'problem', 'free', '', 'are', 'you', 'getting', 'any', 'error', 'codes', 'when', 'signing', 'in', 'via', '', 'settings', '', '', '', 'account', 'management', '', '', 'if', 'on', 'a', 'ps4', '', 'db']",positive,0.0
1083,2019/01/23,"@ant43138087 Hello, glad to assist you! Can you please provide us more details of your problem? @ant43138087 Hello, glad to assist you! Can you please provide us more details of your problem?",negative,"@ant43138087 Hello, glad to assist you! Can you please provide us more details of your problem?",2019/01/23,"['SCREEN_NAME', 'hello', '', 'glad', 'to', 'assist', 'you', '', 'can', 'you', 'please', 'provide', 'us', 'more', 'details', 'of', 'your', 'problem', '', 'SCREEN_NAME', 'hello', '', 'glad', 'to', 'assist', 'you', '', 'can', 'you', 'please', 'provide', 'us', 'more', 'details', 'of', 'your', 'problem', '']",positive,0.0
1084,2019/01/26,"@GuyFawkes2169 Hi, sorry to hear that! Is that happening over multiple internet connections? ^NL @GuyFawkes2169 Hi, sorry to hear that! Is that happening over multiple internet connections? ^NL",negative,"@GuyFawkes2169 Hi, sorry to hear that! Is that happening over multiple internet connections? ^NL",2019/01/26,"['SCREEN_NAME', 'hi', '', 'sorry', 'to', 'hear', 'that', '', 'is', 'that', 'happening', 'over', 'multiple', 'internet', 'connections', '', 'nl', 'SCREEN_NAME', 'hi', '', 'sorry', 'to', 'hear', 'that', '', 'is', 'that', 'happening', 'over', 'multiple', 'internet', 'connections', '', 'nl']",negative,1.0
1085,2019/01/24,"@WiseLionz Sorry to hear that. Please follow us via Twitter so we can send you a direct message, let us know once you are following us. @WiseLionz Sorry to hear that. Please follow us via Twitter so we can send you a direct message, let us know once you are following us.",neutral,"@WiseLionz Sorry to hear that. Please follow us via Twitter so we can send you a direct message, let us know once you are following us.",2019/01/24,"['SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'please', 'follow', 'us', 'via', 'twitter', 'so', 'we', 'can', 'send', 'you', 'a', 'direct', 'message', '', 'let', 'us', 'know', 'once', 'you', 'are', 'following', 'us', '', 'SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'please', 'follow', 'us', 'via', 'twitter', 'so', 'we', 'can', 'send', 'you', 'a', 'direct', 'message', '', 'let', 'us', 'know', 'once', 'you', 'are', 'following', 'us', '']",negative,0.0
1086,2019/01/22,"@callum_Medlock2 I'll send you a DM about this. Please follow us if you haven't already, so that I'll be able to send it. ^GA @callum_Medlock2 I'll send you a DM about this. Please follow us if you haven't already, so that I'll be able to send it. ^GA",neutral,"@callum_Medlock2 I'll send you a DM about this. Please follow us if you haven't already, so that I'll be able to send it. ^GA",2019/01/22,"['SCREEN_NAME', 'i', 'll', 'send', 'you', 'a', 'dm', 'about', 'this', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', '', 'so', 'that', 'i', 'll', 'be', 'able', 'to', 'send', 'it', '', 'ga', 'SCREEN_NAME', 'i', 'll', 'send', 'you', 'a', 'dm', 'about', 'this', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', '', 'so', 'that', 'i', 'll', 'be', 'able', 'to', 'send', 'it', '', 'ga']",positive,0.0
1087,2019/01/24,PlayStation Now game streaming expands throughout Europe (Engadget) https://t.co/MKww3tQtyV PlayStation Now game streaming expands throughout Europe (Engadget) https://t.co/MKww3tQtyV,neutral,PlayStation Now game streaming expands throughout Europe (Engadget) https://t.co/MKww3tQtyV,2019/01/24,"['playstation', 'now', 'game', 'streaming', 'expands', 'throughout', 'europe', '', 'engadget', '', 'playstation', 'now', 'game', 'streaming', 'expands', 'throughout', 'europe', '', 'engadget', '']",negative,0.0
1088,2019/01/21,@mbs022 Strange! Please make sure to check your spam/junk folder and keep us updated! @mbs022 Strange! Please make sure to check your spam/junk folder and keep us updated!,negative,@mbs022 Strange! Please make sure to check your spam/junk folder and keep us updated!,2019/01/21,"['SCREEN_NAME', 'strange', '', 'please', 'make', 'sure', 'to', 'check', 'your', 'spamjunk', 'folder', 'and', 'keep', 'us', 'updated', '', 'SCREEN_NAME', 'strange', '', 'please', 'make', 'sure', 'to', 'check', 'your', 'spamjunk', 'folder', 'and', 'keep', 'us', 'updated', '']",neutral,0.0
1089,2019/01/21,@NotTheSohilSid No this will not delete content. All information for what it will do is in the link provided. ^DK @NotTheSohilSid No this will not delete content. All information for what it will do is in the link provided. ^DK,negative,@NotTheSohilSid No this will not delete content. All information for what it will do is in the link provided. ^DK,2019/01/21,"['SCREEN_NAME', 'no', 'this', 'will', 'not', 'delete', 'content', '', 'all', 'information', 'for', 'what', 'it', 'will', 'do', 'is', 'in', 'the', 'link', 'provided', '', 'dk', 'SCREEN_NAME', 'no', 'this', 'will', 'not', 'delete', 'content', '', 'all', 'information', 'for', 'what', 'it', 'will', 'do', 'is', 'in', 'the', 'link', 'provided', '', 'dk']",neutral,0.0
1090,2019/01/22,@Tzar_Lio Alright! Also make sure your account is activated as a primary PS4: https://t.co/1ujqlIfdag @Tzar_Lio Alright! Also make sure your account is activated as a primary PS4: https://t.co/1ujqlIfdag,neutral,@Tzar_Lio Alright! Also make sure your account is activated as a primary PS4: https://t.co/1ujqlIfdag,2019/01/22,"['SCREEN_NAME', 'alright', '', 'also', 'make', 'sure', 'your', 'account', 'is', 'activated', 'as', 'a', 'primary', 'ps4', 'SCREEN_NAME', 'alright', '', 'also', 'make', 'sure', 'your', 'account', 'is', 'activated', 'as', 'a', 'primary', 'ps4']",positive,0.0
1091,2019/01/26,"@Brawler1993 Okay perfect, when you click download is when you receive this error code? Have you experienced issues downloading any other content? ^DK @Brawler1993 Okay perfect, when you click download is when you receive this error code? Have you experienced issues downloading any other content? ^DK",negative,"@Brawler1993 Okay perfect, when you click download is when you receive this error code? Have you experienced issues downloading any other content? ^DK",2019/01/26,"['SCREEN_NAME', 'okay', 'perfect', '', 'when', 'you', 'click', 'download', 'is', 'when', 'you', 'receive', 'this', 'error', 'code', '', 'have', 'you', 'experienced', 'issues', 'downloading', 'any', 'other', 'content', '', 'dk', 'SCREEN_NAME', 'okay', 'perfect', '', 'when', 'you', 'click', 'download', 'is', 'when', 'you', 'receive', 'this', 'error', 'code', '', 'have', 'you', 'experienced', 'issues', 'downloading', 'any', 'other', 'content', '', 'dk']",positive,0.0
1092,2019/01/25,@VIIIVMNII Have you tried to reset the controllers? ^DK @VIIIVMNII Have you tried to reset the controllers? ^DK,negative,@VIIIVMNII Have you tried to reset the controllers? ^DK,2019/01/25,"['SCREEN_NAME', 'have', 'you', 'tried', 'to', 'reset', 'the', 'controllers', '', 'dk', 'SCREEN_NAME', 'have', 'you', 'tried', 'to', 'reset', 'the', 'controllers', '', 'dk']",neutral,0.0
1093,2019/01/22,"@starlosout Hello, I'm sorry to hear that! Are you able to access those chats? Can you try deleting an installing again the app? ^MM @starlosout Hello, I'm sorry to hear that! Are you able to access those chats? Can you try deleting an installing again the app?  ^MM",negative,"@starlosout Hello, I'm sorry to hear that! Are you able to access those chats? Can you try deleting an installing again the app?  ^MM",2019/01/22,"['SCREEN_NAME', 'hello', '', 'i', 'm', 'sorry', 'to', 'hear', 'that', '', 'are', 'you', 'able', 'to', 'access', 'those', 'chats', '', 'can', 'you', 'try', 'deleting', 'an', 'installing', 'again', 'the', 'app', '', 'mm', 'SCREEN_NAME', 'hello', '', 'i', 'm', 'sorry', 'to', 'hear', 'that', '', 'are', 'you', 'able', 'to', 'access', 'those', 'chats', '', 'can', 'you', 'try', 'deleting', 'an', 'installing', 'again', 'the', 'app', '', 'mm']",neutral,0.0
1094,2019/01/23,PlayStation Now sta per arrivare in Italia @LaStampa https://t.co/AcprXbi0sR PlayStation Now sta per arrivare in Italia @LaStampa https://t.co/AcprXbi0sR,neutral,PlayStation Now sta per arrivare in Italia @LaStampa https://t.co/AcprXbi0sR,2019/01/23,"['playstation', 'now', 'sta', 'per', 'arrivare', 'in', 'italia', 'SCREEN_NAME', 'playstation', 'now', 'sta', 'per', 'arrivare', 'in', 'italia', 'SCREEN_NAME']",neutral,1.0
1095,2019/01/26,@Ucheyyy1 Are you able to add a different payment method? To would need to have a payment method linked in your account to be able to purchase the subscription. ^MM @Ucheyyy1 Are you able to add a different payment method? To would need to have a payment method linked in your account to be able to purchase the subscription. ^MM,neutral,@Ucheyyy1 Are you able to add a different payment method? To would need to have a payment method linked in your account to be able to purchase the subscription. ^MM,2019/01/26,"['SCREEN_NAME', 'are', 'you', 'able', 'to', 'add', 'a', 'different', 'payment', 'method', '', 'to', 'would', 'need', 'to', 'have', 'a', 'payment', 'method', 'linked', 'in', 'your', 'account', 'to', 'be', 'able', 'to', 'purchase', 'the', 'subscription', '', 'mm', 'SCREEN_NAME', 'are', 'you', 'able', 'to', 'add', 'a', 'different', 'payment', 'method', '', 'to', 'would', 'need', 'to', 'have', 'a', 'payment', 'method', 'linked', 'in', 'your', 'account', 'to', 'be', 'able', 'to', 'purchase', 'the', 'subscription', '', 'mm']",positive,0.0
1096,2019/01/24,@Johnathanl53 Hi there! You can verify all the transactions completed on your PSN here: https://t.co/68Uk36zbYR @Johnathanl53 Hi there! You can verify all the transactions completed on your PSN here: https://t.co/68Uk36zbYR,neutral,@Johnathanl53 Hi there! You can verify all the transactions completed on your PSN here: https://t.co/68Uk36zbYR,2019/01/24,"['SCREEN_NAME', 'hi', 'there', '', 'you', 'can', 'verify', 'all', 'the', 'transactions', 'completed', 'on', 'your', 'psn', 'here', 'SCREEN_NAME', 'hi', 'there', '', 'you', 'can', 'verify', 'all', 'the', 'transactions', 'completed', 'on', 'your', 'psn', 'here']",neutral,1.0
1097,2019/01/21,@Caguilar_4 We have sent you a DM with more details. @Caguilar_4 We have sent you a DM with more details.,neutral,@Caguilar_4 We have sent you a DM with more details.,2019/01/21,"['SCREEN_NAME', 'we', 'have', 'sent', 'you', 'a', 'dm', 'with', 'more', 'details', '', 'SCREEN_NAME', 'we', 'have', 'sent', 'you', 'a', 'dm', 'with', 'more', 'details', '']",positive,0.0
1098,2019/01/23,@EstebanAguayo10 Glad to hear that! We are here to help you out whenever you need our assistance! @EstebanAguayo10 Glad to hear that! We are here to help you out whenever you need our assistance!,positive,@EstebanAguayo10 Glad to hear that! We are here to help you out whenever you need our assistance!,2019/01/23,"['SCREEN_NAME', 'glad', 'to', 'hear', 'that', '', 'we', 'are', 'here', 'to', 'help', 'you', 'out', 'whenever', 'you', 'need', 'our', 'assistance', '', 'SCREEN_NAME', 'glad', 'to', 'hear', 'that', '', 'we', 'are', 'here', 'to', 'help', 'you', 'out', 'whenever', 'you', 'need', 'our', 'assistance', '']",positive,1.0
1099,2019/01/24,"PlayStation Now expands to Spain, Italy, and more European countries - Windows Central: PlayStation Now expands to Spain, Italy, and more European countriesÂ Â Windows Central Sony has outlined plans to expand PlayStation Now into six new European regionsâ¦ https://t.co/KLdcjplVbI https://t.co/AFBR4A2b9f PlayStation Now expands to Spain, Italy, and more European countries - Windows Central: PlayStation Now expands to Spain, Italy, and more European countriesÂ Â Windows Central Sony has outlined plans to expand PlayStation Now into six new European regionsâ¦ https://t.co/KLdcjplVbI https://t.co/AFBR4A2b9f",neutral,"PlayStation Now expands to Spain, Italy, and more European countries - Windows Central: PlayStation Now expands to Spain, Italy, and more European countriesÂ Â Windows Central Sony has outlined plans to expand PlayStation Now into six new European regionsâ¦ https://t.co/KLdcjplVbI https://t.co/AFBR4A2b9f",2019/01/24,"['playstation', 'now', 'expands', 'to', 'spain', '', 'italy', '', 'and', 'more', 'european', 'countries', 'windows', 'central', 'playstation', 'now', 'expands', 'to', 'spain', '', 'italy', '', 'and', 'more', 'european', 'countries', '', 'windows', 'central', 'sony', 'has', 'outlined', 'plans', 'to', 'expand', 'playstation', 'now', 'into', 'six', 'new', 'european', 'regions', 'playstation', 'now', 'expands', 'to', 'spain', '', 'italy', '', 'and', 'more', 'european', 'countries', 'windows', 'central', 'playstation', 'now', 'expands', 'to', 'spain', '', 'italy', '', 'and', 'more', 'european', 'countries', '', 'windows', 'central', 'sony', 'has', 'outlined', 'plans', 'to', 'expand', 'playstation', 'now', 'into', 'six', 'new', 'european', 'regions']",neutral,1.0
1100,2019/01/26,"@Ragingfrgaholi1 Hello, glad to assist you! Please access to the next link to know how to update the email address of an account: https://t.co/NrJTKSQWUn @Ragingfrgaholi1 Hello, glad to assist you! Please access to the next link to know how to update the email address of an account: https://t.co/NrJTKSQWUn",neutral,"@Ragingfrgaholi1 Hello, glad to assist you! Please access to the next link to know how to update the email address of an account: https://t.co/NrJTKSQWUn",2019/01/26,"['SCREEN_NAME', 'hello', '', 'glad', 'to', 'assist', 'you', '', 'please', 'access', 'to', 'the', 'next', 'link', 'to', 'know', 'how', 'to', 'update', 'the', 'email', 'address', 'of', 'an', 'account', 'SCREEN_NAME', 'hello', '', 'glad', 'to', 'assist', 'you', '', 'please', 'access', 'to', 'the', 'next', 'link', 'to', 'know', 'how', 'to', 'update', 'the', 'email', 'address', 'of', 'an', 'account']",neutral,1.0
1101,2019/01/24,"@GeorgeD78498745 No worries! Please follow this link for more info on how to reset your password: https://t.co/V5bCXrkqA1 On the right had side you will see a box that says select Answer, click on No. At the bottom select the contact option for further assistance @GeorgeD78498745 No worries! Please follow this link for more info on how to reset your password: https://t.co/V5bCXrkqA1 On the right had side you will see a box that says select Answer, click on No. At the bottom select the contact option for further assistance",neutral,"@GeorgeD78498745 No worries! Please follow this link for more info on how to reset your password: https://t.co/V5bCXrkqA1 On the right had side you will see a box that says select Answer, click on No. At the bottom select the contact option for further assistance",2019/01/24,"['SCREEN_NAME', 'no', 'worries', '', 'please', 'follow', 'this', 'link', 'for', 'more', 'info', 'on', 'how', 'to', 'reset', 'your', 'password', 'on', 'the', 'right', 'had', 'side', 'you', 'will', 'see', 'a', 'box', 'that', 'says', 'select', 'answer', '', 'click', 'on', 'no', '', 'at', 'the', 'bottom', 'select', 'the', 'contact', 'option', 'for', 'further', 'assistance', 'SCREEN_NAME', 'no', 'worries', '', 'please', 'follow', 'this', 'link', 'for', 'more', 'info', 'on', 'how', 'to', 'reset', 'your', 'password', 'on', 'the', 'right', 'had', 'side', 'you', 'will', 'see', 'a', 'box', 'that', 'says', 'select', 'answer', '', 'click', 'on', 'no', '', 'at', 'the', 'bottom', 'select', 'the', 'contact', 'option', 'for', 'further', 'assistance']",neutral,1.0
1102,2019/01/25,"@Jordan49099709 Hello, glad to assist you! Can you please tell us the day when you received the suspension in your account, the time of the suspension and when it was supposed to be lifted? @Jordan49099709 Hello, glad to assist you! Can you please tell us the day when you received the suspension in your account, the time of the suspension and when it was supposed to be lifted?",negative,"@Jordan49099709 Hello, glad to assist you! Can you please tell us the day when you received the suspension in your account, the time of the suspension and when it was supposed to be lifted?",2019/01/25,"['SCREEN_NAME', 'hello', '', 'glad', 'to', 'assist', 'you', '', 'can', 'you', 'please', 'tell', 'us', 'the', 'day', 'when', 'you', 'received', 'the', 'suspension', 'in', 'your', 'account', '', 'the', 'time', 'of', 'the', 'suspension', 'and', 'when', 'it', 'was', 'supposed', 'to', 'be', 'lifted', '', 'SCREEN_NAME', 'hello', '', 'glad', 'to', 'assist', 'you', '', 'can', 'you', 'please', 'tell', 'us', 'the', 'day', 'when', 'you', 'received', 'the', 'suspension', 'in', 'your', 'account', '', 'the', 'time', 'of', 'the', 'suspension', 'and', 'when', 'it', 'was', 'supposed', 'to', 'be', 'lifted', '']",positive,0.0
1103,2019/01/26,"@VintageSusp3ct We are glad to assist you. Please follow us and let us know once you do, so we can send you a Direct Message. Thank you. @VintageSusp3ct We are glad to assist you. Please follow us and let us know once you do, so we can send you a Direct Message. Thank you.",positive,"@VintageSusp3ct We are glad to assist you. Please follow us and let us know once you do, so we can send you a Direct Message. Thank you.",2019/01/26,"['SCREEN_NAME', 'we', 'are', 'glad', 'to', 'assist', 'you', '', 'please', 'follow', 'us', 'and', 'let', 'us', 'know', 'once', 'you', 'do', '', 'so', 'we', 'can', 'send', 'you', 'a', 'direct', 'message', '', 'thank', 'you', '', 'SCREEN_NAME', 'we', 'are', 'glad', 'to', 'assist', 'you', '', 'please', 'follow', 'us', 'and', 'let', 'us', 'know', 'once', 'you', 'do', '', 'so', 'we', 'can', 'send', 'you', 'a', 'direct', 'message', '', 'thank', 'you', '']",positive,1.0
1104,2019/01/24,@Hmilla38streams Did you check the settings on YouTube itself? Some times what happens is that the PSN is not allowed fro the You Tube side. @Hmilla38streams Did you check the settings on YouTube itself? Some times what happens is that the PSN is not allowed fro the You Tube side.,neutral,@Hmilla38streams Did you check the settings on YouTube itself? Some times what happens is that the PSN is not allowed fro the You Tube side.,2019/01/24,"['SCREEN_NAME', 'did', 'you', 'check', 'the', 'settings', 'on', 'youtube', 'itself', '', 'some', 'times', 'what', 'happens', 'is', 'that', 'the', 'psn', 'is', 'not', 'allowed', 'fro', 'the', 'you', 'tube', 'side', '', 'SCREEN_NAME', 'did', 'you', 'check', 'the', 'settings', 'on', 'youtube', 'itself', '', 'some', 'times', 'what', 'happens', 'is', 'that', 'the', 'psn', 'is', 'not', 'allowed', 'fro', 'the', 'you', 'tube', 'side', '']",neutral,1.0
1105,2019/01/25,"@DoToT_NA Hi there! For refund info, please check the following link: https://t.co/MInrgZSl48 @DoToT_NA Hi there! For refund info, please check the following link: https://t.co/MInrgZSl48",neutral,"@DoToT_NA Hi there! For refund info, please check the following link: https://t.co/MInrgZSl48",2019/01/25,"['SCREEN_NAME', 'hi', 'there', '', 'for', 'refund', 'info', '', 'please', 'check', 'the', 'following', 'link', 'SCREEN_NAME', 'hi', 'there', '', 'for', 'refund', 'info', '', 'please', 'check', 'the', 'following', 'link']",neutral,1.0
1106,2019/01/22,"@tyson__davis We'd be happy to look into that with you. However, for security measures we are unable to access, alter, or view PSN Account's information over Twitter. We recommend that you contact us directly through live Customer Support for further assistance. @tyson__davis We'd be happy to look into that with you. However, for security measures we are unable to access, alter, or view PSN Account's information over Twitter. We recommend that you contact us directly through live Customer Support for further assistance.",neutral,"@tyson__davis We'd be happy to look into that with you. However, for security measures we are unable to access, alter, or view PSN Account's information over Twitter. We recommend that you contact us directly through live Customer Support for further assistance.",2019/01/22,"['SCREEN_NAME', 'we', 'd', 'be', 'happy', 'to', 'look', 'into', 'that', 'with', 'you', '', 'however', '', 'for', 'security', 'measures', 'we', 'are', 'unable', 'to', 'access', '', 'alter', '', 'or', 'view', 'psn', 'account', 's', 'information', 'over', 'twitter', '', 'we', 'recommend', 'that', 'you', 'contact', 'us', 'directly', 'through', 'live', 'customer', 'support', 'for', 'further', 'assistance', '', 'SCREEN_NAME', 'we', 'd', 'be', 'happy', 'to', 'look', 'into', 'that', 'with', 'you', '', 'however', '', 'for', 'security', 'measures', 'we', 'are', 'unable', 'to', 'access', '', 'alter', '', 'or', 'view', 'psn', 'account', 's', 'information', 'over', 'twitter', '', 'we', 'recommend', 'that', 'you', 'contact', 'us', 'directly', 'through', 'live', 'customer', 'support', 'for', 'further', 'assistance', '']",neutral,1.0
1107,2019/01/22,"@Nathan73908077 Please follow us on Twitter if you don't yet, so we can send you a DM. Let us know once you do! Thanks. @Nathan73908077 Please follow us on Twitter if you don't yet, so we can send you a DM. Let us know once you do! Thanks.",positive,"@Nathan73908077 Please follow us on Twitter if you don't yet, so we can send you a DM. Let us know once you do! Thanks.",2019/01/22,"['SCREEN_NAME', 'please', 'follow', 'us', 'on', 'twitter', 'if', 'you', 'do', 'nt', 'yet', '', 'so', 'we', 'can', 'send', 'you', 'a', 'dm', '', 'let', 'us', 'know', 'once', 'you', 'do', '', 'thanks', '', 'SCREEN_NAME', 'please', 'follow', 'us', 'on', 'twitter', 'if', 'you', 'do', 'nt', 'yet', '', 'so', 'we', 'can', 'send', 'you', 'a', 'dm', '', 'let', 'us', 'know', 'once', 'you', 'do', '', 'thanks', '']",neutral,0.0
1108,2019/01/23,@STEPHENislovely You're very welcome. @STEPHENislovely You're very welcome.,neutral,@STEPHENislovely You're very welcome.,2019/01/23,"['SCREEN_NAME', 'you', 're', 'very', 'welcome', '', 'SCREEN_NAME', 'you', 're', 'very', 'welcome', '']",positive,0.0
1109,2019/01/22,"@Chewy_Vanity Sorry to read that Hayden. Please follow the ""If You Don't Know Your Sign-In ID, Current Password, or Have Access to Your Email Account"" section of this articlefor further assistance with your account: https://t.co/CtzHdWxilw @Chewy_Vanity Sorry to read that Hayden. Please follow the ""If You Don't Know Your Sign-In ID, Current Password, or Have Access to Your Email Account"" section of this articlefor further assistance with your account: https://t.co/CtzHdWxilw",neutral,"@Chewy_Vanity Sorry to read that Hayden. Please follow the ""If You Don't Know Your Sign-In ID, Current Password, or Have Access to Your Email Account"" section of this articlefor further assistance with your account: https://t.co/CtzHdWxilw",2019/01/22,"['SCREEN_NAME', 'sorry', 'to', 'read', 'that', 'hayden', '', 'please', 'follow', 'the', '', 'if', 'you', 'do', 'nt', 'know', 'your', 'sign', 'in', 'id', '', 'current', 'password', '', 'or', 'have', 'access', 'to', 'your', 'email', 'account', '', 'section', 'of', 'this', 'articlefor', 'further', 'assistance', 'with', 'your', 'account', 'SCREEN_NAME', 'sorry', 'to', 'read', 'that', 'hayden', '', 'please', 'follow', 'the', '', 'if', 'you', 'do', 'nt', 'know', 'your', 'sign', 'in', 'id', '', 'current', 'password', '', 'or', 'have', 'access', 'to', 'your', 'email', 'account', '', 'section', 'of', 'this', 'articlefor', 'further', 'assistance', 'with', 'your', 'account']",negative,0.0
1110,2019/01/23,"PlayStation Now expands to Spain, Italy, and more European countries https://t.co/wWQGDuUoVn @slideme https://t.co/FgtqDmtMT4 PlayStation Now expands to Spain, Italy, and more European countries https://t.co/wWQGDuUoVn @slideme https://t.co/FgtqDmtMT4",neutral,"PlayStation Now expands to Spain, Italy, and more European countries https://t.co/wWQGDuUoVn @slideme https://t.co/FgtqDmtMT4",2019/01/23,"['playstation', 'now', 'expands', 'to', 'spain', '', 'italy', '', 'and', 'more', 'european', 'countries', 'SCREEN_NAME', 'playstation', 'now', 'expands', 'to', 'spain', '', 'italy', '', 'and', 'more', 'european', 'countries', 'SCREEN_NAME']",neutral,1.0
1111,2019/01/24,"@shufflenuno @bradgame64 @McSammi @LimitedRunGames @Naughty_Dog @PlayStation Now, I just wanna say, this isn't exactly true. The second batch of Jak 1, that everyone says took less than a minute, actually took about a minute-forty. @shufflenuno @bradgame64 @McSammi @LimitedRunGames @Naughty_Dog @PlayStation Now, I just wanna say, this isn't exactly true. The second batch of Jak 1, that everyone says took less than a minute, actually took about a minute-forty.",negative,"@shufflenuno @bradgame64 @McSammi @LimitedRunGames @Naughty_Dog @PlayStation Now, I just wanna say, this isn't exactly true. The second batch of Jak 1, that everyone says took less than a minute, actually took about a minute-forty.",2019/01/24,"['SCREEN_NAME', 'SCREEN_NAME', 'SCREEN_NAME', 'SCREEN_NAME', 'SCREEN_NAME', 'SCREEN_NAME', 'now', '', 'i', 'just', 'wanna', 'say', '', 'this', 'is', 'nt', 'exactly', 'true', '', 'the', 'second', 'batch', 'of', 'jak', '1', '', 'that', 'everyone', 'says', 'took', 'less', 'than', 'a', 'minute', '', 'actually', 'took', 'about', 'a', 'minute', 'forty', '', 'SCREEN_NAME', 'SCREEN_NAME', 'SCREEN_NAME', 'SCREEN_NAME', 'SCREEN_NAME', 'SCREEN_NAME', 'now', '', 'i', 'just', 'wanna', 'say', '', 'this', 'is', 'nt', 'exactly', 'true', '', 'the', 'second', 'batch', 'of', 'jak', '1', '', 'that', 'everyone', 'says', 'took', 'less', 'than', 'a', 'minute', '', 'actually', 'took', 'about', 'a', 'minute', 'forty', '']",neutral,0.0
1112,2019/01/24,"@B_52y7 Glad to help. Please Restore licenses and try again, steps here: https://t.co/WATnmgS37Z @B_52y7 Glad to help. Please Restore licenses and try again, steps here: https://t.co/WATnmgS37Z",neutral,"@B_52y7 Glad to help. Please Restore licenses and try again, steps here: https://t.co/WATnmgS37Z",2019/01/24,"['SCREEN_NAME', 'glad', 'to', 'help', '', 'please', 'restore', 'licenses', 'and', 'try', 'again', '', 'steps', 'here', 'SCREEN_NAME', 'glad', 'to', 'help', '', 'please', 'restore', 'licenses', 'and', 'try', 'again', '', 'steps', 'here']",positive,0.0
1113,2019/01/21,@juliemags In order for me to help you please make sure you're following us so I can send you a DM. Thanks ^DK @juliemags In order for me to help you please make sure you're following us so I can send you a DM. Thanks ^DK,positive,@juliemags In order for me to help you please make sure you're following us so I can send you a DM. Thanks ^DK,2019/01/21,"['SCREEN_NAME', 'in', 'order', 'for', 'me', 'to', 'help', 'you', 'please', 'make', 'sure', 'you', 're', 'following', 'us', 'so', 'i', 'can', 'send', 'you', 'a', 'dm', '', 'thanks', 'dk', 'SCREEN_NAME', 'in', 'order', 'for', 'me', 'to', 'help', 'you', 'please', 'make', 'sure', 'you', 're', 'following', 'us', 'so', 'i', 'can', 'send', 'you', 'a', 'dm', '', 'thanks', 'dk']",neutral,0.0
1114,2019/01/25,@SatsuiNoKano Alright! Anything like that would be announced on our blog here: https://t.co/fvM16r8GUd. ^NL @SatsuiNoKano Alright! Anything like that would be announced on our blog here: https://t.co/fvM16r8GUd. ^NL,neutral,@SatsuiNoKano Alright! Anything like that would be announced on our blog here: https://t.co/fvM16r8GUd. ^NL,2019/01/25,"['SCREEN_NAME', 'alright', '', 'anything', 'like', 'that', 'would', 'be', 'announced', 'on', 'our', 'blog', 'here', '', 'nl', 'SCREEN_NAME', 'alright', '', 'anything', 'like', 'that', 'would', 'be', 'announced', 'on', 'our', 'blog', 'here', '', 'nl']",neutral,1.0
1115,2019/01/23,@eli26040206 Hello! What cable is this? What was wrong with it before your dog chewed it? ^DB @eli26040206 Hello! What cable is this? What was wrong with it before your dog chewed it? ^DB,negative,@eli26040206 Hello! What cable is this? What was wrong with it before your dog chewed it? ^DB,2019/01/23,"['SCREEN_NAME', 'hello', '', 'what', 'cable', 'is', 'this', '', 'what', 'was', 'wrong', 'with', 'it', 'before', 'your', 'dog', 'chewed', 'it', '', 'db', 'SCREEN_NAME', 'hello', '', 'what', 'cable', 'is', 'this', '', 'what', 'was', 'wrong', 'with', 'it', 'before', 'your', 'dog', 'chewed', 'it', '', 'db']",negative,1.0
