Date_Ext,negative,neutral,positive,unknown
13:03.0,0,1,0,0
13:12.0,0,0,1,0
13:14.0,1,0,0,0
13:19.0,1,0,0,0
13:20.0,0,0,1,0
13:32.0,0,1,0,0
13:36.0,0,0,1,0
13:41.0,0,0,1,0
13:45.0,0,1,0,0
14:01.0,0,0,1,0
14:02.0,0,0,1,0
14:05.0,1,0,0,0
14:06.0,0,0,1,0
14:18.0,1,0,0,0
14:26.0,0,0,1,0
14:27.0,0,0,1,0
14:31.0,0,0,1,0
14:37.0,0,0,1,0
14:44.0,0,0,0,2
14:46.0,0,0,0,2
14:51.0,0,0,1,0
14:53.0,0,0,1,0
14:58.0,0,0,1,0
14:59.0,0,0,1,0
15:02.0,0,0,0,3
15:06.0,0,1,0,0
15:09.0,0,0,1,0
15:15.0,1,0,0,0
15:24.0,0,0,1,0
15:25.0,0,1,0,0
15:26.0,1,0,0,0
15:27.0,0,0,1,0
15:34.0,0,0,1,0
15:39.0,0,0,1,0
15:40.0,0,0,1,0
15:41.0,0,0,1,0
15:46.0,0,0,1,0
15:48.0,0,0,1,0
15:49.0,0,0,1,0
15:53.0,0,0,0,2
15:54.0,0,1,0,0
15:55.0,0,1,0,0
15:56.0,0,0,1,0
15:57.0,0,1,0,0
16:03.0,0,0,1,0
16:05.0,0,0,1,0
16:13.0,0,0,1,0
16:16.0,0,0,1,0
16:31.0,1,0,0,0
16:34.0,0,0,1,0
16:35.0,0,0,1,0
16:38.0,0,0,0,2
17:00.0,0,0,1,0
17:03.0,0,0,1,0
17:10.0,0,0,1,0
17:12.0,1,0,0,0
17:13.0,0,1,0,0
17:24.0,0,1,0,0
17:28.0,1,0,0,0
17:30.0,0,0,1,0
17:39.0,0,0,1,0
17:41.0,0,0,1,0
17:48.0,0,1,0,0
17:49.0,0,1,0,0
17:58.0,1,0,0,0
18:02.0,1,0,0,0
18:05.0,0,1,0,0
18:07.0,0,0,1,0
18:11.0,0,0,1,0
18:19.0,0,1,0,0
18:22.0,0,0,1,0
18:23.0,0,0,1,0
18:34.0,0,0,1,0
18:47.0,0,1,0,0
18:49.0,0,1,0,0
18:58.0,1,0,0,0
19:05.0,0,1,0,0
19:12.0,0,1,0,0
19:15.0,0,0,1,0
19:16.0,0,0,1,0
19:19.0,0,0,1,0
19:25.0,0,1,0,0
19:26.0,0,0,1,0
19:27.0,1,0,0,0
19:38.0,0,0,1,0
19:40.0,0,1,0,0
19:46.0,0,1,0,0
19:49.0,0,0,1,0
19:52.0,0,0,1,0
19:59.0,0,0,1,0
20:00.0,0,0,0,2
20:05.0,0,0,1,0
20:06.0,0,0,1,0
20:08.0,0,0,1,0
20:10.0,0,0,0,2
20:11.0,0,0,1,0
20:16.0,1,0,0,0
20:28.0,0,0,1,0
20:32.0,0,1,0,0
20:35.0,0,0,1,0
20:37.0,0,0,1,0
20:39.0,0,0,1,0
20:40.0,0,1,0,0
20:43.0,0,1,0,0
20:48.0,0,0,1,0
20:52.0,1,0,0,0
20:56.0,0,0,1,0
21:02.0,0,0,1,0
21:13.0,0,0,1,0
21:16.0,0,1,0,0
21:18.0,0,1,0,0
21:20.0,0,0,0,2
21:31.0,0,1,0,0
21:38.0,0,1,0,0
21:39.0,0,1,0,0
21:43.0,0,0,1,0
21:47.0,1,0,0,0
21:48.0,0,0,1,0
21:50.0,0,0,1,0
21:55.0,0,0,1,0
21:56.0,0,0,1,0
21:58.0,0,0,1,0
22:03.0,0,0,1,0
22:08.0,0,0,1,0
22:11.0,0,0,0,2
22:25.0,1,0,0,0
22:29.0,1,0,0,0
22:30.0,0,0,1,0
22:36.0,0,1,0,0
22:37.0,0,1,0,0
22:42.0,1,0,0,0
22:47.0,1,0,0,0
22:53.0,0,0,1,0
22:56.0,1,0,0,0
22:57.0,0,0,1,0
22:58.0,1,0,0,0
23:01.0,0,1,0,0
23:14.0,1,0,0,0
23:16.0,0,0,1,0
23:17.0,0,0,1,0
23:21.0,1,0,0,0
23:24.0,0,0,1,0
23:25.0,0,1,0,0
23:27.0,0,0,1,0
23:32.0,0,0,1,0
23:35.0,1,0,0,0
23:47.0,0,0,0,2
23:50.0,0,0,0,2
23:53.0,0,0,1,0
23:54.0,0,0,0,2
23:57.0,0,1,0,0
23:59.0,0,0,1,0
24:04.0,0,0,1,0
24:05.0,1,0,0,0
24:20.0,0,1,0,0
24:31.0,0,0,1,0
24:37.0,0,0,1,0
24:54.0,0,0,0,2
24:55.0,0,0,0,3
24:57.0,0,0,1,0
25:00.0,0,1,0,0
25:11.0,0,0,1,0
25:12.0,0,1,0,0
25:20.0,0,0,1,0
25:22.0,0,0,1,0
25:24.0,0,0,0,2
25:26.0,0,0,1,0
25:29.0,1,0,0,0
25:30.0,0,0,1,0
25:31.0,1,0,0,0
25:32.0,0,0,1,0
25:38.0,0,0,1,0
25:51.0,0,0,0,2
25:58.0,0,1,0,0
26:05.0,0,0,1,0
26:06.0,0,1,0,0
26:09.0,0,0,1,0
26:10.0,0,0,1,0
26:13.0,1,0,0,0
26:16.0,0,0,0,2
26:21.0,0,1,0,0
26:24.0,0,1,0,0
26:26.0,0,0,1,0
26:40.0,0,0,0,2
26:54.0,0,1,0,0
26:56.0,0,0,1,0
26:59.0,0,0,0,2
27:03.0,1,0,0,0
27:08.0,0,0,1,0
27:11.0,0,0,1,0
27:12.0,0,0,1,0
27:13.0,0,0,0,2
27:14.0,0,0,1,0
27:19.0,0,1,0,0
27:20.0,1,0,0,0
27:22.0,0,1,0,0
27:31.0,0,0,1,0
27:34.0,0,0,1,0
27:37.0,1,0,0,0
27:40.0,1,0,0,0
27:42.0,0,0,1,0
27:44.0,0,1,0,0
27:46.0,0,0,1,0
27:53.0,0,0,1,0
27:55.0,0,1,0,0
27:58.0,0,0,1,0
28:16.0,1,0,0,0
28:21.0,0,0,1,0
28:23.0,0,0,1,0
28:26.0,0,0,0,2
28:32.0,0,0,1,0
28:33.0,0,0,1,0
28:36.0,0,0,0,2
28:38.0,0,0,1,0
28:44.0,0,1,0,0
28:53.0,1,0,0,0
28:56.0,0,0,1,0
28:57.0,0,0,1,0
28:58.0,1,0,0,0
29:04.0,0,0,0,2
29:05.0,0,1,0,0
29:06.0,0,0,1,0
29:08.0,0,0,1,0
29:11.0,0,0,1,0
29:15.0,0,0,1,0
29:21.0,0,1,0,0
29:26.0,1,0,0,0
29:31.0,1,0,0,0
29:33.0,0,0,1,0
29:35.0,0,0,1,0
29:37.0,1,0,0,0
29:39.0,0,1,0,0
29:43.0,0,1,0,0
29:50.0,0,1,0,0
29:52.0,0,0,1,0
29:54.0,0,0,1,0
29:59.0,0,0,1,0
30:01.0,0,1,0,0
30:06.0,0,1,0,0
30:09.0,0,0,1,0
30:12.0,0,0,1,0
30:15.0,1,0,0,0
30:16.0,0,0,1,0
30:23.0,0,0,1,0
30:25.0,0,0,1,0
30:26.0,0,0,1,0
30:28.0,0,1,0,0
30:34.0,1,0,0,0
30:36.0,1,0,0,0
30:44.0,0,0,1,0
30:45.0,0,0,0,3
30:56.0,0,0,0,2
30:58.0,1,0,0,0
31:03.0,0,0,1,0
31:06.0,1,0,0,0
31:09.0,1,0,0,0
31:13.0,0,0,1,0
31:16.0,0,0,1,0
31:17.0,0,0,1,0
31:23.0,0,1,0,0
31:24.0,0,0,1,0
31:25.0,0,0,1,0
31:27.0,0,0,1,0
31:31.0,1,0,0,0
31:33.0,0,0,0,2
31:59.0,0,1,0,0
32:00.0,1,0,0,0
32:02.0,0,0,1,0
32:09.0,0,1,0,0
32:11.0,1,0,0,0
32:16.0,0,0,1,0
32:20.0,1,0,0,0
32:21.0,0,0,1,0
32:34.0,1,0,0,0
32:40.0,1,0,0,0
32:45.0,0,0,0,2
32:46.0,0,0,1,0
32:49.0,1,0,0,0
32:55.0,1,0,0,0
32:56.0,0,1,0,0
33:00.0,0,1,0,0
33:01.0,1,0,0,0
33:07.0,0,1,0,0
33:14.0,0,1,0,0
33:16.0,0,0,1,0
33:17.0,0,0,0,2
33:19.0,0,0,1,0
33:23.0,0,1,0,0
33:24.0,0,0,1,0
33:28.0,0,1,0,0
33:30.0,0,0,1,0
33:33.0,0,1,0,0
33:36.0,0,0,1,0
33:37.0,0,0,1,0
33:45.0,0,0,1,0
33:49.0,0,0,0,2
33:55.0,0,1,0,0
33:59.0,0,0,0,2
34:31.0,0,0,0,2
34:33.0,0,0,1,0
34:36.0,0,0,1,0
34:41.0,0,1,0,0
34:43.0,0,1,0,0
34:47.0,1,0,0,0
34:55.0,0,1,0,0
35:02.0,0,0,1,0
35:04.0,0,0,1,0
35:12.0,0,0,1,0
35:18.0,0,1,0,0
35:19.0,0,0,1,0
35:23.0,0,0,0,2
35:28.0,0,0,1,0
35:34.0,0,0,1,0
35:37.0,0,0,1,0
35:39.0,0,1,0,0
35:46.0,0,0,1,0
35:51.0,0,0,1,0
35:52.0,0,1,0,0
35:57.0,0,0,1,0
35:58.0,1,0,0,0
36:00.0,0,0,1,0
36:04.0,0,0,1,0
36:07.0,0,1,0,0
36:09.0,0,1,0,0
36:12.0,0,1,0,0
36:16.0,0,0,1,0
36:28.0,1,0,0,0
36:30.0,1,0,0,0
36:34.0,0,0,0,3
36:36.0,1,0,0,0
36:38.0,0,1,0,0
36:42.0,0,0,1,0
36:46.0,1,0,0,0
36:47.0,0,0,0,2
36:51.0,1,0,0,0
36:57.0,0,0,1,0
36:58.0,0,0,1,0
37:02.0,0,1,0,0
37:09.0,0,0,1,0
37:11.0,1,0,0,0
37:22.0,0,1,0,0
37:34.0,1,0,0,0
37:37.0,0,0,0,2
37:40.0,0,0,1,0
37:43.0,0,0,1,0
37:44.0,1,0,0,0
37:46.0,0,0,0,2
37:49.0,0,0,1,0
37:51.0,0,1,0,0
37:52.0,0,1,0,0
37:54.0,0,1,0,0
37:57.0,0,1,0,0
38:00.0,0,0,0,2
38:01.0,1,0,0,0
38:03.0,0,0,1,0
38:08.0,0,0,1,0
38:10.0,0,1,0,0
38:15.0,0,0,1,0
38:19.0,0,0,1,0
38:26.0,0,0,1,0
38:27.0,0,0,1,0
38:28.0,0,0,1,0
38:36.0,1,0,0,0
38:38.0,1,0,0,0
38:39.0,0,1,0,0
38:40.0,0,0,1,0
38:45.0,0,0,1,0
38:46.0,0,0,0,2
38:48.0,1,0,0,0
38:51.0,0,0,1,0
38:55.0,0,0,1,0
39:00.0,0,0,0,2
39:05.0,0,0,1,0
39:11.0,0,0,0,2
39:18.0,0,0,1,0
39:19.0,1,0,0,0
39:23.0,1,0,0,0
39:27.0,0,1,0,0
39:32.0,0,1,0,0
39:37.0,1,0,0,0
39:38.0,0,0,1,0
39:39.0,0,0,1,0
39:43.0,1,0,0,0
39:46.0,0,0,1,0
39:48.0,0,0,1,0
39:51.0,0,0,0,2
39:53.0,0,1,0,0
39:54.0,0,0,1,0
39:55.0,0,1,0,0
39:57.0,0,1,0,0
40:01.0,0,1,0,0
40:03.0,0,0,1,0
40:04.0,0,0,0,2
40:09.0,0,0,1,0
40:14.0,0,1,0,0
40:15.0,0,0,1,0
40:24.0,0,1,0,0
40:40.0,1,0,0,0
40:41.0,0,0,1,0
40:46.0,0,0,1,0
41:07.0,0,0,1,0
41:39.0,0,0,1,0
41:45.0,0,0,1,0
41:48.0,0,0,1,0
41:55.0,1,0,0,0
41:57.0,0,0,1,0
41:59.0,0,0,0,2
42:00.0,0,0,1,0
42:08.0,1,0,0,0
42:09.0,1,0,0,0
42:10.0,0,1,0,0
42:16.0,0,0,1,0
42:19.0,1,0,0,0
42:25.0,0,0,1,0
42:29.0,0,1,0,0
42:30.0,0,1,0,0
42:31.0,0,0,1,0
42:32.0,1,0,0,0
42:49.0,0,0,1,0
42:54.0,0,0,1,0
43:00.0,1,0,0,0
43:05.0,0,0,1,0
43:06.0,0,1,0,0
43:07.0,0,0,1,0
43:15.0,0,1,0,0
43:18.0,0,0,1,0
43:20.0,0,0,1,0
43:27.0,0,1,0,0
43:29.0,0,1,0,0
43:37.0,0,0,0,2
43:38.0,0,0,1,0
43:39.0,0,0,1,0
43:50.0,0,1,0,0
43:52.0,0,0,0,3
43:54.0,0,1,0,0
43:55.0,0,0,0,2
43:57.0,0,0,0,2
44:01.0,0,0,1,0
44:06.0,0,0,1,0
44:07.0,0,0,1,0
44:08.0,0,0,0,2
44:11.0,0,1,0,0
44:16.0,1,0,0,0
44:18.0,0,0,0,2
44:20.0,0,0,0,2
44:22.0,0,0,1,0
44:31.0,0,1,0,0
44:32.0,0,1,0,0
44:41.0,1,0,0,0
44:59.0,0,0,0,2
45:00.0,0,1,0,0
45:02.0,0,0,1,0
45:03.0,0,0,0,3
45:08.0,0,1,0,0
45:09.0,0,0,1,0
45:21.0,0,1,0,0
45:22.0,0,0,1,0
45:24.0,0,0,1,0
45:28.0,0,0,1,0
45:29.0,0,0,1,0
45:32.0,0,0,1,0
45:36.0,1,0,0,0
45:40.0,0,0,0,2
45:48.0,0,1,0,0
45:55.0,0,0,1,0
46:01.0,0,0,1,0
46:08.0,0,0,1,0
46:21.0,0,1,0,0
46:22.0,0,0,0,2
46:26.0,0,1,0,0
46:28.0,1,0,0,0
46:32.0,0,0,1,0
46:33.0,0,1,0,0
46:46.0,0,0,1,0
46:47.0,0,0,1,0
46:48.0,0,0,0,2
46:53.0,0,1,0,0
46:54.0,0,0,1,0
47:05.0,1,0,0,0
47:11.0,1,0,0,0
47:13.0,0,0,1,0
47:17.0,0,0,1,0
47:21.0,0,1,0,0
47:23.0,0,0,0,2
47:26.0,0,1,0,0
47:29.0,1,0,0,0
47:32.0,0,0,0,2
47:35.0,1,0,0,0
47:38.0,0,0,1,0
47:41.0,0,0,1,0
47:45.0,0,0,1,0
47:48.0,0,0,1,0
47:51.0,0,0,1,0
47:53.0,1,0,0,0
47:54.0,0,0,1,0
47:55.0,0,0,1,0
47:57.0,1,0,0,0
48:00.0,1,0,0,0
48:09.0,1,0,0,0
48:12.0,0,1,0,0
48:21.0,1,0,0,0
48:23.0,1,0,0,0
48:24.0,0,0,1,0
48:27.0,0,0,1,0
48:30.0,1,0,0,0
48:35.0,1,0,0,0
48:40.0,0,0,1,0
48:43.0,0,0,0,2
48:51.0,0,0,1,0
48:53.0,0,1,0,0
48:56.0,0,0,1,0
49:00.0,0,1,0,0
49:03.0,0,0,1,0
49:08.0,0,0,1,0
49:13.0,1,0,0,0
49:28.0,1,0,0,0
49:42.0,0,1,0,0
49:47.0,0,0,1,0
49:56.0,0,1,0,0
49:57.0,0,0,1,0
50:12.0,1,0,0,0
50:16.0,0,1,0,0
50:23.0,1,0,0,0
50:24.0,0,1,0,0
50:27.0,0,1,0,0
50:30.0,0,0,1,0
50:31.0,0,0,1,0
50:32.0,0,0,1,0
50:38.0,0,0,1,0
50:43.0,0,1,0,0
50:46.0,0,0,1,0
50:48.0,0,1,0,0
50:50.0,1,0,0,0
50:57.0,0,0,0,2
50:58.0,0,0,1,0
51:05.0,0,0,1,0
51:11.0,0,0,1,0
51:14.0,0,0,1,0
51:24.0,0,1,0,0
51:30.0,0,1,0,0
51:33.0,0,1,0,0
51:34.0,0,1,0,0
51:40.0,0,1,0,0
51:44.0,0,1,0,0
51:45.0,0,0,1,0
51:48.0,0,0,1,0
51:53.0,0,0,1,0
51:54.0,0,0,0,2
51:57.0,1,0,0,0
51:59.0,0,0,1,0
52:03.0,0,0,1,0
52:08.0,0,0,1,0
52:12.0,0,1,0,0
52:16.0,0,0,1,0
52:22.0,0,0,1,0
52:25.0,0,0,0,2
52:33.0,0,0,1,0
52:35.0,0,0,1,0
52:38.0,0,1,0,0
52:43.0,0,1,0,0
52:45.0,0,1,0,0
52:46.0,0,1,0,0
52:47.0,0,1,0,0
52:50.0,0,1,0,0
52:54.0,0,1,0,0
52:56.0,0,0,1,0
53:02.0,0,0,1,0
53:10.0,1,0,0,0
53:11.0,0,0,1,0
53:14.0,0,0,1,0
53:15.0,0,1,0,0
53:18.0,1,0,0,0
53:22.0,0,0,1,0
53:28.0,0,0,1,0
53:29.0,0,0,1,0
53:31.0,0,0,1,0
53:32.0,0,0,1,0
53:33.0,0,0,1,0
53:37.0,0,0,1,0
53:39.0,1,0,0,0
53:40.0,0,0,1,0
53:45.0,1,0,0,0
53:47.0,0,1,0,0
53:50.0,0,1,0,0
53:59.0,1,0,0,0
54:01.0,0,1,0,0
54:03.0,0,1,0,0
54:05.0,0,0,0,2
54:11.0,1,0,0,0
54:12.0,0,0,1,0
54:18.0,0,1,0,0
54:27.0,0,0,1,0
54:32.0,0,0,1,0
54:33.0,0,1,0,0
54:36.0,0,0,0,2
54:38.0,0,0,1,0
54:42.0,0,0,1,0
54:46.0,1,0,0,0
54:50.0,0,1,0,0
54:51.0,0,1,0,0
54:58.0,0,1,0,0
55:00.0,0,1,0,0
55:13.0,0,1,0,0
55:21.0,0,0,1,0
55:24.0,0,0,1,0
55:26.0,0,0,0,2
55:31.0,1,0,0,0
55:32.0,0,1,0,0
55:35.0,0,1,0,0
55:43.0,1,0,0,0
55:56.0,0,0,1,0
55:57.0,0,0,1,0
55:58.0,0,0,0,2
56:11.0,0,1,0,0
56:17.0,1,0,0,0
56:21.0,0,1,0,0
56:26.0,1,0,0,0
56:28.0,0,0,0,2
56:29.0,0,0,0,2
56:35.0,1,0,0,0
56:37.0,0,0,1,0
56:42.0,0,1,0,0
56:50.0,1,0,0,0
56:54.0,0,0,1,0
56:57.0,1,0,0,0
56:58.0,0,1,0,0
57:07.0,0,0,1,0
57:09.0,0,0,1,0
57:13.0,0,1,0,0
57:22.0,0,1,0,0
57:23.0,0,0,1,0
57:26.0,0,0,1,0
57:28.0,0,0,1,0
57:33.0,0,0,1,0
57:39.0,1,0,0,0
57:42.0,1,0,0,0
57:50.0,0,1,0,0
57:53.0,0,1,0,0
57:55.0,1,0,0,0
57:59.0,0,0,0,2
58:00.0,0,0,0,2
58:05.0,1,0,0,0
58:06.0,0,1,0,0
58:23.0,0,0,1,0
58:24.0,0,0,0,2
58:25.0,1,0,0,0
58:26.0,0,0,1,0
58:34.0,0,1,0,0
58:40.0,0,0,1,0
58:45.0,0,0,1,0
58:51.0,0,0,0,2
58:55.0,0,1,0,0
58:58.0,0,0,1,0
59:07.0,0,1,0,0
59:13.0,0,1,0,0
59:14.0,0,0,1,0
59:18.0,0,1,0,0
59:19.0,0,1,0,0
59:23.0,0,0,1,0
59:26.0,0,0,0,2
59:27.0,0,0,0,2
59:30.0,0,0,1,0
59:32.0,0,1,0,0
59:35.0,0,0,1,0
59:44.0,0,1,0,0
59:59.0,0,0,0,2
