Date (EST),Contents,Post Title,Date_Ext,token_text,sentiment_py
2019/01/22,@NoahNeiman Glad to answer. Please find more details in the EA website: https://t.co/PgSnrqdun3 @NoahNeiman Glad to answer. Please find more details in the EA website: https://t.co/PgSnrqdun3,@NoahNeiman Glad to answer. Please find more details in the EA website: https://t.co/PgSnrqdun3,2019/01/22,"['SCREEN_NAME', 'glad', 'to', 'answer', '', 'please', 'find', 'more', 'details', 'in', 'the', 'ea', 'website', 'SCREEN_NAME', 'glad', 'to', 'answer', '', 'please', 'find', 'more', 'details', 'in', 'the', 'ea', 'website']",positive
2019/01/21,"@AndrewKyrillou Unfortunately the time frame is really a matter of days and not that which you are discussing. Your data will have been removed, maybe not instantaneously but it will have been deleted. ^DK @AndrewKyrillou Unfortunately the time frame is really a matter of days and not that which you are discussing. Your data will have been removed, maybe not instantaneously but it will have been deleted. ^DK","@AndrewKyrillou Unfortunately the time frame is really a matter of days and not that which you are discussing. Your data will have been removed, maybe not instantaneously but it will have been deleted. ^DK",2019/01/21,"['SCREEN_NAME', 'unfortunately', 'the', 'time', 'frame', 'is', 'really', 'a', 'matter', 'of', 'days', 'and', 'not', 'that', 'which', 'you', 'are', 'discussing', '', 'your', 'data', 'will', 'have', 'been', 'removed', '', 'maybe', 'not', 'instantaneously', 'but', 'it', 'will', 'have', 'been', 'deleted', '', 'dk', 'SCREEN_NAME', 'unfortunately', 'the', 'time', 'frame', 'is', 'really', 'a', 'matter', 'of', 'days', 'and', 'not', 'that', 'which', 'you', 'are', 'discussing', '', 'your', 'data', 'will', 'have', 'been', 'removed', '', 'maybe', 'not', 'instantaneously', 'but', 'it', 'will', 'have', 'been', 'deleted', '', 'dk']",negative
2019/01/24,"Designed to improve performance, and maximize hand use. Make it yours with unparalleled customization and personalization. Designed to improve performance, and maximize hand use. Make it yours with unparalleled customization and personalization.","Designed to improve performance, and maximize hand use. Make it yours with unparalleled customization and personalization.",2019/01/24,"['designed', 'to', 'improve', 'performance', '', 'and', 'maximize', 'hand', 'use', '', 'make', 'it', 'yours', 'with', 'unparalleled', 'customization', 'and', 'personalization', '', 'designed', 'to', 'improve', 'performance', '', 'and', 'maximize', 'hand', 'use', '', 'make', 'it', 'yours', 'with', 'unparalleled', 'customization', 'and', 'personalization', '']",neutral
2019/01/23,"PlayStation Now is coming soon to Spain, Italy, Portugal, Denmark, Norway, Finland and Sweden https://t.co/aEjFisgxI7 via @PlayStationEU PlayStation Now is coming soon to Spain, Italy, Portugal, Denmark, Norway, Finland and Sweden https://t.co/aEjFisgxI7 via @PlayStationEU","PlayStation Now is coming soon to Spain, Italy, Portugal, Denmark, Norway, Finland and Sweden https://t.co/aEjFisgxI7 via @PlayStationEU",2019/01/23,"['playstation', 'now', 'is', 'coming', 'soon', 'to', 'spain', '', 'italy', '', 'portugal', '', 'denmark', '', 'norway', '', 'finland', 'and', 'sweden', 'via', 'SCREEN_NAME', 'playstation', 'now', 'is', 'coming', 'soon', 'to', 'spain', '', 'italy', '', 'portugal', '', 'denmark', '', 'norway', '', 'finland', 'and', 'sweden', 'via', 'SCREEN_NAME']",neutral
2019/01/24,"@TheMidgetOne Hello sorry to hear that, can you please follow the steps for this given here: https://t.co/ALqyxEOt3i ^NJ @TheMidgetOne Hello sorry to hear that, can you please follow the steps for this given here: https://t.co/ALqyxEOt3i ^NJ","@TheMidgetOne Hello sorry to hear that, can you please follow the steps for this given here: https://t.co/ALqyxEOt3i ^NJ",2019/01/24,"['SCREEN_NAME', 'hello', 'sorry', 'to', 'hear', 'that', '', 'can', 'you', 'please', 'follow', 'the', 'steps', 'for', 'this', 'given', 'here', 'nj', 'SCREEN_NAME', 'hello', 'sorry', 'to', 'hear', 'that', '', 'can', 'you', 'please', 'follow', 'the', 'steps', 'for', 'this', 'given', 'here', 'nj']",negative
2019/01/23,"PlayStation Now is coming soon to Spain, Italy, Portugal, Denmark, Norway, Finland and Sweden https://t.co/GayAOEtDcW via @PlayStationEU PlayStation Now is coming soon to Spain, Italy, Portugal, Denmark, Norway, Finland and Sweden https://t.co/GayAOEtDcW via @PlayStationEU","PlayStation Now is coming soon to Spain, Italy, Portugal, Denmark, Norway, Finland and Sweden https://t.co/GayAOEtDcW via @PlayStationEU",2019/01/23,"['playstation', 'now', 'is', 'coming', 'soon', 'to', 'spain', '', 'italy', '', 'portugal', '', 'denmark', '', 'norway', '', 'finland', 'and', 'sweden', 'via', 'SCREEN_NAME', 'playstation', 'now', 'is', 'coming', 'soon', 'to', 'spain', '', 'italy', '', 'portugal', '', 'denmark', '', 'norway', '', 'finland', 'and', 'sweden', 'via', 'SCREEN_NAME']",neutral
2019/01/22,@nino_obojes Please make sure that you format the USB to exFAT before downloading the file. @nino_obojes Please make sure that you format the USB to exFAT before downloading the file.,@nino_obojes Please make sure that you format the USB to exFAT before downloading the file.,2019/01/22,"['SCREEN_NAME', 'please', 'make', 'sure', 'that', 'you', 'format', 'the', 'usb', 'to', 'exfat', 'before', 'downloading', 'the', 'file', '', 'SCREEN_NAME', 'please', 'make', 'sure', 'that', 'you', 'format', 'the', 'usb', 'to', 'exfat', 'before', 'downloading', 'the', 'file', '']",positive
2019/01/24,"@seann_mears I'll send you a DM about this. Please follow us if you haven't already, so that I'll be able to send it. ^GA @seann_mears I'll send you a DM about this. Please follow us if you haven't already, so that I'll be able to send it. ^GA","@seann_mears I'll send you a DM about this. Please follow us if you haven't already, so that I'll be able to send it. ^GA",2019/01/24,"['SCREEN_NAME', 'i', 'll', 'send', 'you', 'a', 'dm', 'about', 'this', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', '', 'so', 'that', 'i', 'll', 'be', 'able', 'to', 'send', 'it', '', 'ga', 'SCREEN_NAME', 'i', 'll', 'send', 'you', 'a', 'dm', 'about', 'this', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', '', 'so', 'that', 'i', 'll', 'be', 'able', 'to', 'send', 'it', '', 'ga']",positive
2019/01/23,@Sting1_JP I enjoyed it very much! @Sting1_JP I enjoyed it very much!,@Sting1_JP I enjoyed it very much!,2019/01/23,"['SCREEN_NAME', 'i', 'enjoyed', 'it', 'very', 'much', '', 'SCREEN_NAME', 'i', 'enjoyed', 'it', 'very', 'much', '']",positive
2019/01/26,"Man PlayStation Now is so great, so many cool games to play there Man PlayStation Now is so great, so many cool games to play there","Man PlayStation Now is so great, so many cool games to play there",2019/01/26,"['man', 'playstation', 'now', 'is', 'so', 'great', '', 'so', 'many', 'cool', 'games', 'to', 'play', 'there', 'man', 'playstation', 'now', 'is', 'so', 'great', '', 'so', 'many', 'cool', 'games', 'to', 'play', 'there']",positive
2019/01/26,@socetious Please check your DM's for more instructions. @socetious Please check your DM's for more instructions.,@socetious Please check your DM's for more instructions.,2019/01/26,"['SCREEN_NAME', 'please', 'check', 'your', 'dm', 's', 'for', 'more', 'instructions', '', 'SCREEN_NAME', 'please', 'check', 'your', 'dm', 's', 'for', 'more', 'instructions', '']",positive
2019/01/21,"@diddlyuk Please go to the following article about changing the password: https://t.co/V5bCXrkqA1 In the question showed, select ""No"" and follow the steps available. @diddlyuk Please go to the following article about changing the password: https://t.co/V5bCXrkqA1
In the question showed, select ""No"" and follow the steps available.","@diddlyuk Please go to the following article about changing the password: https://t.co/V5bCXrkqA1
In the question showed, select ""No"" and follow the steps available.",2019/01/21,"['SCREEN_NAME', 'please', 'go', 'to', 'the', 'following', 'article', 'about', 'changing', 'the', 'password', 'in', 'the', 'question', 'showed', '', 'select', '', 'no', '', 'and', 'follow', 'the', 'steps', 'available', '', 'SCREEN_NAME', 'please', 'go', 'to', 'the', 'following', 'article', 'about', 'changing', 'the', 'password', 'in', 'the', 'question', 'showed', '', 'select', '', 'no', '', 'and', 'follow', 'the', 'steps', 'available', '']",positive
2019/01/25,"Fireplace plus tv stuff blew surge protector. Fireplace lives in naked corner now. PlayStation now on floor because internet cable isn't long enough to go above tv. POOOOOOO! https://t.co/1VCRbSsHtR Fireplace plus tv stuff blew surge protector.
Fireplace lives in naked corner now. 
PlayStation now on floor because internet cable isn't long enough to go above tv. 
POOOOOOO! https://t.co/1VCRbSsHtR","Fireplace plus tv stuff blew surge protector.
Fireplace lives in naked corner now. 
PlayStation now on floor because internet cable isn't long enough to go above tv. 
POOOOOOO! https://t.co/1VCRbSsHtR",2019/01/25,"['fireplace', 'plus', 'tv', 'stuff', 'blew', 'surge', 'protector', '', 'fireplace', 'lives', 'in', 'naked', 'corner', 'now', '', 'playstation', 'now', 'on', 'floor', 'because', 'internet', 'cable', 'is', 'nt', 'long', 'enough', 'to', 'go', 'above', 'tv', '', 'pooooooo', '', 'fireplace', 'plus', 'tv', 'stuff', 'blew', 'surge', 'protector', '', 'fireplace', 'lives', 'in', 'naked', 'corner', 'now', '', 'playstation', 'now', 'on', 'floor', 'because', 'internet', 'cable', 'is', 'nt', 'long', 'enough', 'to', 'go', 'above', 'tv', '', 'pooooooo', '']",negative
2019/01/25,@MandaFnPanda Hi there! Let us know your question please. @MandaFnPanda Hi there! Let us know your question please.,@MandaFnPanda Hi there! Let us know your question please.,2019/01/25,"['SCREEN_NAME', 'hi', 'there', '', 'let', 'us', 'know', 'your', 'question', 'please', '', 'SCREEN_NAME', 'hi', 'there', '', 'let', 'us', 'know', 'your', 'question', 'please', '']",neutral
2019/01/26,@Headdressedwolf Hi Austin. Please follow us via Twitter and let us know the region of your PSN account so we can send you a Direct Message with further instructions. Thanks! @Headdressedwolf Hi Austin. Please follow us via Twitter and let us know the region of your PSN account so we can send you a Direct Message with further instructions. Thanks!,@Headdressedwolf Hi Austin. Please follow us via Twitter and let us know the region of your PSN account so we can send you a Direct Message with further instructions. Thanks!,2019/01/26,"['SCREEN_NAME', 'hi', 'austin', '', 'please', 'follow', 'us', 'via', 'twitter', 'and', 'let', 'us', 'know', 'the', 'region', 'of', 'your', 'psn', 'account', 'so', 'we', 'can', 'send', 'you', 'a', 'direct', 'message', 'with', 'further', 'instructions', '', 'thanks', '', 'SCREEN_NAME', 'hi', 'austin', '', 'please', 'follow', 'us', 'via', 'twitter', 'and', 'let', 'us', 'know', 'the', 'region', 'of', 'your', 'psn', 'account', 'so', 'we', 'can', 'send', 'you', 'a', 'direct', 'message', 'with', 'further', 'instructions', '', 'thanks', '']",positive
2019/01/21,@BigMoneyButtons In order for us to make further suggestions would you let us know the last step you tried from the article provided? @BigMoneyButtons In order for us to make further suggestions would you let us know the last step you tried from the article provided?,@BigMoneyButtons In order for us to make further suggestions would you let us know the last step you tried from the article provided?,2019/01/21,"['SCREEN_NAME', 'in', 'order', 'for', 'us', 'to', 'make', 'further', 'suggestions', 'would', 'you', 'let', 'us', 'know', 'the', 'last', 'step', 'you', 'tried', 'from', 'the', 'article', 'provided', '', 'SCREEN_NAME', 'in', 'order', 'for', 'us', 'to', 'make', 'further', 'suggestions', 'would', 'you', 'let', 'us', 'know', 'the', 'last', 'step', 'you', 'tried', 'from', 'the', 'article', 'provided', '']",neutral
2019/01/24,"@EliminateAnime I'll send you a DM about this. Please follow us if you haven't already, so that I'll be able to send it. ^GA @EliminateAnime I'll send you a DM about this. Please follow us if you haven't already, so that I'll be able to send it. ^GA","@EliminateAnime I'll send you a DM about this. Please follow us if you haven't already, so that I'll be able to send it. ^GA",2019/01/24,"['SCREEN_NAME', 'i', 'll', 'send', 'you', 'a', 'dm', 'about', 'this', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', '', 'so', 'that', 'i', 'll', 'be', 'able', 'to', 'send', 'it', '', 'ga', 'SCREEN_NAME', 'i', 'll', 'send', 'you', 'a', 'dm', 'about', 'this', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', '', 'so', 'that', 'i', 'll', 'be', 'able', 'to', 'send', 'it', '', 'ga']",positive
2019/01/24,"@Ali000ahmed1 Hello, glad to assist you! Can you please provide us more details of your problem, are you getting any error code or message when you tried to sign in using the console? @Ali000ahmed1 Hello, glad to assist you! Can you please provide us more details of your problem, are you getting any error code or message when you tried to sign in using the console?","@Ali000ahmed1 Hello, glad to assist you! Can you please provide us more details of your problem, are you getting any error code or message when you tried to sign in using the console?",2019/01/24,"['SCREEN_NAME', 'hello', '', 'glad', 'to', 'assist', 'you', '', 'can', 'you', 'please', 'provide', 'us', 'more', 'details', 'of', 'your', 'problem', '', 'are', 'you', 'getting', 'any', 'error', 'code', 'or', 'message', 'when', 'you', 'tried', 'to', 'sign', 'in', 'using', 'the', 'console', '', 'SCREEN_NAME', 'hello', '', 'glad', 'to', 'assist', 'you', '', 'can', 'you', 'please', 'provide', 'us', 'more', 'details', 'of', 'your', 'problem', '', 'are', 'you', 'getting', 'any', 'error', 'code', 'or', 'message', 'when', 'you', 'tried', 'to', 'sign', 'in', 'using', 'the', 'console', '']",positive
2019/01/25,@Big_Dunk_Energy Sorry to hear that. Please check your Direct Messages for further instructions. @Big_Dunk_Energy Sorry to hear that. Please check your Direct Messages for further instructions.,@Big_Dunk_Energy Sorry to hear that. Please check your Direct Messages for further instructions.,2019/01/25,"['SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'please', 'check', 'your', 'direct', 'messages', 'for', 'further', 'instructions', '', 'SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'please', 'check', 'your', 'direct', 'messages', 'for', 'further', 'instructions', '']",negative
2019/01/24,"@LucyMensah19 Yes, if you have a US account you'll need US vouchers to fund the wallet. Vouchers are digitally available as well, though make sure to purchase them from a trusted retailer to avoid scams. ^NL @LucyMensah19 Yes, if you have a US account you'll need US vouchers to fund the wallet. Vouchers are digitally available as well, though make sure to purchase them from a trusted retailer to avoid scams. ^NL","@LucyMensah19 Yes, if you have a US account you'll need US vouchers to fund the wallet. Vouchers are digitally available as well, though make sure to purchase them from a trusted retailer to avoid scams. ^NL",2019/01/24,"['SCREEN_NAME', 'yes', '', 'if', 'you', 'have', 'a', 'us', 'account', 'you', 'll', 'need', 'us', 'vouchers', 'to', 'fund', 'the', 'wallet', '', 'vouchers', 'are', 'digitally', 'available', 'as', 'well', '', 'though', 'make', 'sure', 'to', 'purchase', 'them', 'from', 'a', 'trusted', 'retailer', 'to', 'avoid', 'scams', '', 'nl', 'SCREEN_NAME', 'yes', '', 'if', 'you', 'have', 'a', 'us', 'account', 'you', 'll', 'need', 'us', 'vouchers', 'to', 'fund', 'the', 'wallet', '', 'vouchers', 'are', 'digitally', 'available', 'as', 'well', '', 'though', 'make', 'sure', 'to', 'purchase', 'them', 'from', 'a', 'trusted', 'retailer', 'to', 'avoid', 'scams', '', 'nl']",positive
2019/01/25,"@Proeymo Sorry to hear that. Please follow us via Twitter so we can send you a direct message, let us know once you are following us. @Proeymo Sorry to hear that. Please follow us via Twitter so we can send you a direct message, let us know once you are following us.","@Proeymo Sorry to hear that. Please follow us via Twitter so we can send you a direct message, let us know once you are following us.",2019/01/25,"['SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'please', 'follow', 'us', 'via', 'twitter', 'so', 'we', 'can', 'send', 'you', 'a', 'direct', 'message', '', 'let', 'us', 'know', 'once', 'you', 'are', 'following', 'us', '', 'SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'please', 'follow', 'us', 'via', 'twitter', 'so', 'we', 'can', 'send', 'you', 'a', 'direct', 'message', '', 'let', 'us', 'know', 'once', 'you', 'are', 'following', 'us', '']",negative
2019/01/23,"Gracias @PlayStationES @PlayStation ""PlayStation Now"" Ueeee Gracias @PlayStationES @PlayStation ""PlayStation Now"" Ueeee","Gracias @PlayStationES @PlayStation ""PlayStation Now"" Ueeee",2019/01/23,"['gracias', 'SCREEN_NAME', 'SCREEN_NAME', '', 'playstation', 'now', '', 'ueeee', 'gracias', 'SCREEN_NAME', 'SCREEN_NAME', '', 'playstation', 'now', '', 'ueeee']",neutral
2019/01/21,@harman097 Glad to help. Are you using the console or the website? @harman097 Glad to help. Are you using the console or the website?,@harman097 Glad to help. Are you using the console or the website?,2019/01/21,"['SCREEN_NAME', 'glad', 'to', 'help', '', 'are', 'you', 'using', 'the', 'console', 'or', 'the', 'website', '', 'SCREEN_NAME', 'glad', 'to', 'help', '', 'are', 'you', 'using', 'the', 'console', 'or', 'the', 'website', '']",positive
2019/01/21,"@FIREAARONBOONE Here to help. Try resetting it via PC. Try deleting cookies and browsing history. If it persists, try using a different browser or network connection. @FIREAARONBOONE Here to help. Try resetting it via PC. Try deleting cookies and browsing history. If it persists, try using a different browser or network connection.","@FIREAARONBOONE Here to help. Try resetting it via PC. Try deleting cookies and browsing history. If it persists, try using a different browser or network connection.",2019/01/21,"['SCREEN_NAME', 'here', 'to', 'help', '', 'try', 'resetting', 'it', 'via', 'pc', '', 'try', 'deleting', 'cookies', 'and', 'browsing', 'history', '', 'if', 'it', 'persists', '', 'try', 'using', 'a', 'different', 'browser', 'or', 'network', 'connection', '', 'SCREEN_NAME', 'here', 'to', 'help', '', 'try', 'resetting', 'it', 'via', 'pc', '', 'try', 'deleting', 'cookies', 'and', 'browsing', 'history', '', 'if', 'it', 'persists', '', 'try', 'using', 'a', 'different', 'browser', 'or', 'network', 'connection', '']",neutral
2019/01/21,@VinceWeeb Alright! We've been made aware of this and are currently looking into the matter. ^NL @VinceWeeb Alright! We've been made aware of this and are currently looking into the matter. ^NL,@VinceWeeb Alright! We've been made aware of this and are currently looking into the matter. ^NL,2019/01/21,"['SCREEN_NAME', 'alright', '', 'we', 've', 'been', 'made', 'aware', 'of', 'this', 'and', 'are', 'currently', 'looking', 'into', 'the', 'matter', '', 'nl', 'SCREEN_NAME', 'alright', '', 'we', 've', 'been', 'made', 'aware', 'of', 'this', 'and', 'are', 'currently', 'looking', 'into', 'the', 'matter', '', 'nl']",positive
2019/01/22,@Maki0usd Hi! Please try from this page - https://t.co/UybABrxO2J. ^DK @Maki0usd Hi! Please try from this page - https://t.co/UybABrxO2J. ^DK,@Maki0usd Hi! Please try from this page - https://t.co/UybABrxO2J. ^DK,2019/01/22,"['SCREEN_NAME', 'hi', '', 'please', 'try', 'from', 'this', 'page', 'dk', 'SCREEN_NAME', 'hi', '', 'please', 'try', 'from', 'this', 'page', 'dk']",neutral
2019/01/23,@Banjo72532475 Here to help. Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions. Thanks! @Banjo72532475 Here to help. Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions. Thanks!,@Banjo72532475 Here to help. Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions. Thanks!,2019/01/23,"['SCREEN_NAME', 'here', 'to', 'help', '', 'please', 'follow', 'us', 'via', 'twitter', 'and', 'let', 'us', 'know', 'so', 'we', 'can', 'send', 'you', 'a', 'direct', 'message', 'with', 'further', 'instructions', '', 'thanks', '', 'SCREEN_NAME', 'here', 'to', 'help', '', 'please', 'follow', 'us', 'via', 'twitter', 'and', 'let', 'us', 'know', 'so', 'we', 'can', 'send', 'you', 'a', 'direct', 'message', 'with', 'further', 'instructions', '', 'thanks', '']",positive
2019/01/23,@ParagonDeer Hi there! Glad to assist! We suggest you to check our article about keeping your PSN account safe: https://t.co/fyGK3KRW7I @ParagonDeer Hi there! Glad to assist! We suggest you to check our article about keeping your PSN account safe: https://t.co/fyGK3KRW7I,@ParagonDeer Hi there! Glad to assist! We suggest you to check our article about keeping your PSN account safe: https://t.co/fyGK3KRW7I,2019/01/23,"['SCREEN_NAME', 'hi', 'there', '', 'glad', 'to', 'assist', '', 'we', 'suggest', 'you', 'to', 'check', 'our', 'article', 'about', 'keeping', 'your', 'psn', 'account', 'safe', 'SCREEN_NAME', 'hi', 'there', '', 'glad', 'to', 'assist', '', 'we', 'suggest', 'you', 'to', 'check', 'our', 'article', 'about', 'keeping', 'your', 'psn', 'account', 'safe']",positive
