GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
920373136935276544,10/17/2017,http://twitter.com/AskPS_UK/status/920373136935276544,@robertW725 Do you have 2SV set up? Are you still logged in on any other devices? ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,183848,63627,22,@robertW725 Do you have 2SV set up? Are you still logged in on any other devices? ^ES,Reply,,
919482945194389504,10/15/2017,http://twitter.com/AskPS_UK/status/919482945194389504,@Deathmog Hi there! What's happening with this game? ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Fear,Twitter,,182429,63267,22,@Deathmog Hi there! What's happening with this game? ^EG,Reply,,
919639234989973504,10/15/2017,http://twitter.com/AskPS_UK/status/919639234989973504,@DerekDickson17 Have you tried resetting your password? ^MN,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,182874,63376,22,@DerekDickson17 Have you tried resetting your password? ^MN,Reply,,
919016171185344513,10/13/2017,http://twitter.com/AskPlayStation/status/919016171185344513,Trouble starting your PS4? Safe Mode can help! Learn more: https://t.co/ZdzyLOQdmp https://t.co/wOd5zjUu4j,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,727342,1249055,3135,Trouble starting your PS4? Safe Mode can help! Learn more: https://t.co/ZdzyLOQdmp https://t.co/wOd5zjUu4j,Tweet,,
919306873714696193,10/14/2017,http://twitter.com/AskPlayStation/status/919306873714696193,@Jonghoe1232 Hi there. Let's look into that. Please power cycle your network devices and try again: https://t.co/UUMNDRIFMj,@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,727519,1249203,3137,@Jonghoe1232 Hi there. Let's look into that. Please power cycle your network devices and try again: https://t.co/UUMNDRIFMj,Reply,,
919984397201428482,10/16/2017,http://twitter.com/AskPS_UK/status/919984397201428482,@tobywyllie Please see here https://t.co/C4IEBRtN4y for further troubleshooting steps on this ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,183258,63498,22,@tobywyllie Please see here https://t.co/C4IEBRtN4y for further troubleshooting steps on this ^ES,Reply,,
919661695886348293,10/15/2017,http://twitter.com/GetHarriet/status/919661695886348293,PlayStation Now Will Bring PS4 Games to your PC https://t.co/TL4aspkFMf,@GetHarriet,Harriet,,,,Neutral,Neutral,Twitter,F,2102,3,3,PlayStation Now Will Bring PS4 Games to your PC https://t.co/TL4aspkFMf,Tweet,,
919004841938124805,10/13/2017,http://twitter.com/AskPlayStation/status/919004841938124805,"@henry3suarezg1 Hi there. Let's look into that. For refund info, please check the following link: https://t.co/MInrgZSl48",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,727331,1249052,3135,"@henry3suarezg1 Hi there. Let's look into that. For refund info, please check the following link: https://t.co/MInrgZSl48",Reply,,
918938754403962881,10/13/2017,http://twitter.com/AskPS_UK/status/918938754403962881,@AshvirJohal We will be in touch via DM as soon as we can ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,181927,63108,22,@AshvirJohal We will be in touch via DM as soon as we can ^EG,Reply,,
919695277254172677,10/15/2017,http://twitter.com/waltsbjr/status/919695277254172677,@Sony @sonybrasil @SonyLatin @PlayStation now it's been 4 days since @Sony did not solve my problem @sonybrasil @SonyLatin @PlayStation #shameonyou #shametohaveasony #shameonyousony,@waltsbjr,Walter Borghi Junior,Brazil,São Paulo,Sao Paulo,Neutral,Sadness,Twitter,M,574,28,98,"@Sony @sonybrasil @SonyLatin @PlayStation now it's been 4 days since @Sony did not solve my problem
@sonybrasil @SonyLatin @PlayStation
#shameonyou #shametohaveasony #shameonyousony",Reply,,
919692567628926977,10/15/2017,http://twitter.com/AskPlayStation/status/919692567628926977,@chandlerconner5 Hello Chandler. Let's look into that. Do you see an error message or an error code? Please provide us more details.,@AskPlayStation,Ask PlayStation,,,,Negative,Neutral,Twitter,,727810,1249437,3140,@chandlerconner5 Hello Chandler. Let's look into that. Do you see an error message or an error code? Please provide us more details.,Reply,,
920012581603069952,10/16/2017,http://twitter.com/AskPS_UK/status/920012581603069952,"@SatchelKing It shouldn't do, see https://t.co/QgPpDKhVVl ^ES",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,183360,63523,22,"@SatchelKing It shouldn't do, see https://t.co/QgPpDKhVVl ^ES",Reply,,
919965592383303682,10/16/2017,http://twitter.com/AskPS_UK/status/919965592383303682,@omarelakhrass Hi there! I'm going to send you a DM. Please follow us if you haven't already ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Neutral,Twitter,,183198,63480,22,@omarelakhrass Hi there! I'm going to send you a DM. Please follow us if you haven't already ^ES,Reply,,
919371514549555201,10/14/2017,http://twitter.com/hv1hj/status/919371514549555201,"@AskPlayStation Hey, I wasnt aware. I would be charged pass trial for PSNow, I don't want it, can I get a refund?",@hv1hj,Vincent Hamilton,,,,Negative,Anger,Twitter,M,36,3,36,"@AskPlayStation Hey, I wasnt aware. I would be charged  pass trial for PSNow, I don't  want it, can I get a refund?",Tweet,,
918985979515621376,10/13/2017,http://twitter.com/AskPlayStation/status/918985979515621376,@oLighte Sorry for the inconvenience. Please let us know the region of your PSN account.,@AskPlayStation,Ask PlayStation,,,,Negative,Unclassified,Twitter,,727303,1249053,3135,@oLighte Sorry for the inconvenience. Please let us know the region of your PSN account.,Reply,,
918900241910419456,10/13/2017,http://twitter.com/AskPS_UK/status/918900241910419456,@kal_ruairi Sorry to hear this. Try resetting and turning off your router for few minutes and then try again ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Sadness,Twitter,,181850,63085,22,@kal_ruairi Sorry to hear this. Try resetting and turning off your router for few minutes and then try again ^EG,Reply,,
919570189754265602,10/15/2017,http://twitter.com/AskPS_UK/status/919570189754265602,@AlexHannon04 In this case please contact our support by calling 0203 538 2665 tomorrow morning from 10:30 for further help ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Unclassified,Twitter,,182710,63321,22,@AlexHannon04 In this case please contact our support by calling 0203 538 2665 tomorrow morning from 10:30 for further help ^EG,Reply,,
920373341558624256,10/17/2017,http://twitter.com/AskPS_UK/status/920373341558624256,@scottyallenlive Does anyone in your household have access to your console? ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,183850,63627,22,@scottyallenlive Does anyone in your household have access to your console? ^ES,Reply,,
919926841472929792,10/16/2017,http://twitter.com/AskPS_UK/status/919926841472929792,"@Matthewp3011 Open the ports on your router for improved connection, see https://t.co/JlGFiUBIDe ^ES",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,183114,63439,22,"@Matthewp3011 Open the ports on your router for improved connection, see https://t.co/JlGFiUBIDe ^ES",Reply,,
918899621426057217,10/13/2017,http://twitter.com/AskPS_UK/status/918899621426057217,@gothic_chocobo What steps have you done so far? Did you try pressing Option > Delete? ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,181848,63086,22,@gothic_chocobo What steps have you done so far? Did you try pressing Option > Delete? ^EG,Reply,,
919228796028555264,10/14/2017,http://twitter.com/AskPS_UK/status/919228796028555264,"@markhicks_mh Hi, I'm going to send you a DM. Please follow us if you haven't already! ^MN",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Joy,Twitter,,182198,63212,22,"@markhicks_mh Hi, I'm going to send you a DM. Please follow us if you haven't already! ^MN",Reply,,
918901152938364928,10/13/2017,http://twitter.com/AskPS_UK/status/918901152938364928,@StewartCurtyV3 Hi there!I'm afraid that we don't discuss ban or suspension here. Contact our team https://t.co/8WTN1ElGAZ for this. ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,181851,63086,22,@StewartCurtyV3  Hi there!I'm afraid that we don't discuss ban or suspension here. Contact our team https://t.co/8WTN1ElGAZ for this. ^EG,Reply,,
920306726620024832,10/17/2017,http://twitter.com/AskPS_UK/status/920306726620024832,@AlhejjiAhmad Hi there! Can you please explain this further? ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,183660,63576,22,@AlhejjiAhmad Hi there! Can you please explain this further? ^EG,Reply,,
920099912490110977,10/16/2017,http://twitter.com/AskPlayStation/status/920099912490110977,@Nawltik Hi Mica. Let's look into that. Do you have a wired or a wireless connection? Do you see an error message or an error code?,@AskPlayStation,Ask PlayStation,,,,Negative,Neutral,Twitter,,728060,1249704,3140,@Nawltik Hi Mica. Let's look into that. Do you have a wired or a wireless connection? Do you see an error message or an error code?,Reply,,
919254941608312832,10/14/2017,http://twitter.com/AskPS_UK/status/919254941608312832,@liambwilson What error message are you getting? ^MN,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,182254,63227,22,@liambwilson What error message are you getting? ^MN,Reply,,
919650864419213312,10/15/2017,http://twitter.com/AskPlayStation/status/919650864419213312,@Hiimphamous Here to help! Please follow us via Twitter and let us know so we can send you a DM with further instructions. Thanks!,@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,727736,1249400,3140,@Hiimphamous Here to help! Please follow us via Twitter and let us know so we can send you a DM with further instructions. Thanks!,Reply,,
918816350474207232,10/13/2017,http://twitter.com/AskPS_UK/status/918816350474207232,@channelselfie I'm going to send you a DM. Please follow us if you haven't already ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,181683,63043,22,@channelselfie I'm going to send you a DM. Please follow us if you haven't already ^ES,Tweet,,
919215477376847872,10/14/2017,http://twitter.com/TheAgeOfThanos/status/919215477376847872,IF PLAYSTATION NOW WORKS HOW I THINK IT DOES OH MY GOD,@TheAgeOfThanos,captain jacob🎃,United States of America,,,Neutral,Neutral,Twitter,M,60149,1362,130,IF PLAYSTATION NOW WORKS HOW I THINK IT DOES OH MY GOD,Tweet,,
919140666579476480,10/14/2017,http://twitter.com/BenjaminAshmore/status/919140666579476480,@LewisHamilton @PlayStation Now I am going to have to buy a @PlayStation and the driving sim chair!!! 🙏🏼🎮 looks so 😎,@BenjaminAshmore,Big Thirsty Bear,United Kingdom,South West,,Positive,Unclassified,Twitter,,759,147,434,@LewisHamilton @PlayStation Now I am going to have to buy a @PlayStation and the driving sim chair!!! 🙏🏼🎮 looks so 😎,Reply,,
919255830138105857,10/14/2017,http://twitter.com/AskPS_UK/status/919255830138105857,@SeeNoWeeevil This sounds like a job for our support team. Can you e-mail help@uk.playstation.com with that info? Pictures will help. ^MN,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,182256,63228,22,@SeeNoWeeevil This sounds like a job for our support team. Can you e-mail help@uk.playstation.com with that info? Pictures will help. ^MN,Reply,,
919633842201382917,10/15/2017,http://twitter.com/AskPS_UK/status/919633842201382917,"@mattbedson12 All online progression is saved server side, not on your console. You should still have access as soon as you sign-in. ^MN",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,182867,63366,22,"@mattbedson12 All online progression is saved server side, not on your console. You should still have access as soon as you sign-in. ^MN",Reply,,
920265629105606658,10/17/2017,http://twitter.com/AskPS_UK/status/920265629105606658,@max_facer Hey there! Please submit a refund request at the following link: https://t.co/7mBqL3cRkd ^DB,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,183588,63567,22,@max_facer Hey there! Please submit a refund request at the following link: https://t.co/7mBqL3cRkd ^DB,Reply,,
919601065233932288,10/15/2017,http://twitter.com/AskPlayStation/status/919601065233932288,@ReccaWolf Sorry to know that. Is it happening with all the games or just with one game?,@AskPlayStation,Ask PlayStation,,,,Negative,Unclassified,Twitter,,727661,1249370,3139,@ReccaWolf Sorry to know that. Is it happening with all the games or just with one game?,Reply,,
920373874751102976,10/17/2017,http://twitter.com/AskPS_UK/status/920373874751102976,@robertW725 I'm going to send you a DM. Please follow us if you haven't already ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,183852,63627,22,@robertW725 I'm going to send you a DM. Please follow us if you haven't already ^ES,Reply,,
919494153662320641,10/15/2017,http://twitter.com/AskPS_UK/status/919494153662320641,@realestfanovo Sorry to hear this. Have you already tried following the steps at https://t.co/7zFxUTWH33? ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,182467,63271,22,@realestfanovo Sorry to hear this. Have you already tried following the steps at https://t.co/7zFxUTWH33? ^EG,Reply,,
920016595854020608,10/16/2017,http://twitter.com/AskPS_UK/status/920016595854020608,@simsy_18 Hey! Have you checked within your download list? ^ES,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,183377,63528,22,@simsy_18 Hey! Have you checked within your download list? ^ES,Reply,,
919577891385565184,10/15/2017,http://twitter.com/AskPS_UK/status/919577891385565184,@aduma_tevin They will be able to help you further as this is an in-game issue ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Unclassified,Twitter,,182733,63326,22,@aduma_tevin They will be able to help you further as this is an in-game issue ^EG,Reply,,
918892533643726849,10/13/2017,http://twitter.com/INotYouKind/status/918892533643726849,"@PlayStation now that you guys have given metal gear on plus, is time for bloodborne",@INotYouKind,Homem pós moderno,United States of America,,,Neutral,Unclassified,Twitter,,19264,67,443,"@PlayStation now that you guys have given metal gear on plus, is time for bloodborne",Tweet,,
919547505796370432,10/15/2017,http://twitter.com/AskPS_UK/status/919547505796370432,@galadykgaladyk So does he still get the same issue? ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,182626,63303,22,@galadykgaladyk So does he still get the same issue? ^EG,Reply,,
920222269372321792,10/17/2017,http://twitter.com/AskPS_UK/status/920222269372321792,"@saber_sox If you are experiencing this issue, please give us a call on your local support line: https://t.co/Rwg3azRQW2 ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Unclassified,Twitter,,183510,63544,22,"@saber_sox If you are experiencing this issue, please give us a call on your local support line: https://t.co/Rwg3azRQW2 ^DB",Reply,,
920128282024185856,10/16/2017,http://twitter.com/AskPlayStation/status/920128282024185856,@Just___George We can help with that! Please follow us on Twitter and send us a DM so we can assist you further! https://t.co/blzF3DE7ws,@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,728120,1249707,3140,@Just___George We can help with that! Please follow us on Twitter and send us a DM so we can assist you further! https://t.co/blzF3DE7ws,Reply,,
920007673285955584,10/16/2017,http://twitter.com/AskPS_UK/status/920007673285955584,"@Robertoad30 Hello, I am sorry to hear this. How can we help? ^ES",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,183347,63520,22,"@Robertoad30 Hello, I am sorry to hear this. How can we help? ^ES",Reply,,
918910104166191104,10/13/2017,http://twitter.com/AskPS_UK/status/918910104166191104,@SilentWraith87 Just checked it ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Unclassified,Twitter,,181875,63089,22,@SilentWraith87 Just checked it ^EG,Reply,,
920250804182888448,10/17/2017,http://twitter.com/AskPS_UK/status/920250804182888448,@TinyPurplePug Hi there! We will be in touch via DM shortly. No worries ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Neutral,Twitter,,183556,63555,22,@TinyPurplePug Hi there! We will be in touch via DM shortly. No worries ^EG,Reply,,
920285579086098432,10/17/2017,http://twitter.com/AskPS_UK/status/920285579086098432,@Merci1ess Hi there! I'm going to send you a DM. Please follow us if you haven't already. ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Joy,Twitter,,183629,63570,22,@Merci1ess Hi there! I'm going to send you a DM. Please follow us if you haven't already. ^EG,Reply,,
919299544004857856,10/14/2017,http://twitter.com/AskPlayStation/status/919299544004857856,@GiantSizeBort Glad to hear that is working now. You are welcome. Let us know if there's anything we can lend a hand with!,@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,727503,1249198,3137,@GiantSizeBort Glad to hear that is working now. You are welcome. Let us know if there's anything we can lend a hand with!,Reply,,
919916785620668416,10/16/2017,http://twitter.com/AskPlayStation/status/919916785620668416,@zackryder747 Glad to hear it! Happy gaming!,@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,727923,1249500,3140,@zackryder747 Glad to hear it! Happy gaming!,Reply,,
919514750110887936,10/15/2017,http://twitter.com/AskPS_UK/status/919514750110887936,@hamzyji Awesome! Happy gaming ^EG,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Joy,Twitter,,182527,63284,22,@hamzyji Awesome! Happy gaming ^EG,Reply,,
918836860910268417,10/13/2017,http://twitter.com/AskPlayStation/status/918836860910268417,"@Peggers_67 The user profile for your PSN account, you can check going to Settings> Log in Settings> User Management.",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,727158,1248937,3135,"@Peggers_67 The user profile for your PSN account, you can check going to Settings> Log in Settings> User Management.",Reply,,
919012993031200768,10/13/2017,http://twitter.com/AskPlayStation/status/919012993031200768,"@Jwebber88 Please make sure you are following us, so we can assist you better via a Direct Message.",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,727340,1249049,3135,"@Jwebber88 Please make sure you are following us, so we can assist you better via a Direct Message.",Reply,,
